GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
337,118,4,4.5,4.5,9.65,1,5
324,107,4,4,4.5,8.87,1,4
316,104,3,3,3.5,8,1,4
322,110,3,3.5,2.5,8.67,1,4
314,103,2,2,3,8.21,0,4
330,115,5,4.5,3,9.34,1,5
321,109,3,3,4,8.2,1,4
308,101,2,3,4,7.9,0,4
302,102,1,2,1.5,8,0,3
323,108,3,3.5,3,8.6,0,3
325,106,3,3.5,4,8.4,1,3
327,111,4,4,4.5,9,1,5
328,112,4,4,4.5,9.1,1,4
307,109,3,4,3,8,1,4
311,104,3,3.5,2,8.2,1,4
314,105,3,3.5,2.5,8.3,0,3
317,107,3,4,3,8.7,0,4
319,106,3,4,3,8,1,4
318,110,3,4,3,8.8,0,4
303,102,3,3.5,3,8.5,0,4
312,107,3,3,2,7.9,1,4
325,114,4,3,2,8.4,0,4
328,116,5,5,5,9.5,1,5
334,119,5,5,4.5,9.7,1,5
336,119,5,4,3.5,9.8,1,5
340,120,5,4.5,4.5,9.6,1,5
322,109,5,4.5,3.5,8.8,0,4
298,98,2,1.5,2.5,7.5,1,3
295,93,1,2,2,7.2,0,3
310,99,2,1.5,2,7.3,0,3
300,97,2,3,3,8.1,1,4
327,103,3,4,4,8.3,1,4
338,118,4,3,4.5,9.4,1,5
340,114,5,4,4,9.6,1,5
331,112,5,4,5,9.8,1,5
320,110,5,5,5,9.2,1,5
299,106,2,4,4,8.4,0,4
300,105,1,1,2,7.8,0,3
304,105,1,3,1.5,7.5,0,3
307,108,2,4,3.5,7.7,0,3
308,110,3,3.5,3,8,1,3
316,105,2,2.5,2.5,8.2,1,3
313,107,2,2.5,2,8.5,1,3
332,117,4,4.5,4,9.1,0,5
326,113,5,4.5,4,9.4,1,5
322,110,5,5,4,9.1,1,5
329,114,5,4,5,9.3,1,5
339,119,5,4.5,4,9.7,0,5
321,110,3,3.5,5,8.85,1,5
327,111,4,3,4,8.4,1,4
313,98,3,2.5,4.5,8.3,1,4
312,100,2,1.5,3.5,7.9,1,3
334,116,4,4,3,8,1,4
324,112,4,4,2.5,8.1,1,4
322,110,3,3,3.5,8,0,4
320,103,3,3,3,7.7,0,4
316,102,3,2,3,7.4,0,4
298,99,2,4,2,7.6,0,3
300,99,1,3,2,6.8,1,2
311,104,2,2,2,8.3,0,3
309,100,2,3,3,8.1,0,3
307,101,3,4,3,8.2,0,3
304,105,2,3,3,8.2,1,3
315,107,2,4,3,8.5,1,3
325,111,3,3,3.5,8.7,0,3
325,112,4,3.5,3.5,8.92,0,3
327,114,3,3,3,9.02,0,4
316,107,2,3.5,3.5,8.64,1,3
318,109,3,3.5,4,9.22,1,4
328,115,4,4.5,4,9.16,1,4
332,118,5,5,5,9.64,1,5
336,112,5,5,5,9.76,1,5
321,111,5,5,5,9.45,1,5
314,108,4,4.5,4,9.04,1,5
314,106,3,3,5,8.9,0,4
329,114,2,2,4,8.56,1,4
327,112,3,3,3,8.72,1,4
301,99,2,3,2,8.22,0,4
296,95,2,3,2,7.54,1,3
294,93,1,1.5,2,7.36,0,3
312,105,3,2,3,8.02,1,3
340,120,4,5,5,9.5,1,5
320,110,5,5,4.5,9.22,1,5
322,115,5,4,4.5,9.36,1,5
340,115,5,4.5,4.5,9.45,1,5
319,103,4,4.5,3.5,8.66,0,4
315,106,3,4.5,3.5,8.42,0,4
317,107,2,3.5,3,8.28,0,4
314,108,3,4.5,3.5,8.14,0,4
316,109,4,4.5,3.5,8.76,1,4
318,106,2,4,4,7.92,1,4
299,97,3,5,3.5,7.66,0,2
298,98,2,4,3,8.03,0,2
301,97,2,3,3,7.88,1,3
303,99,3,2,2.5,7.66,0,2
304,100,4,1.5,2.5,7.84,0,3
306,100,2,3,3,8,0,3
331,120,3,4,4,8.96,1,5
332,119,4,5,4.5,9.24,1,5
323,113,3,4,4,8.88,1,4
322,107,3,3.5,3.5,8.46,1,4
312,105,2,2.5,3,8.12,0,4
314,106,2,4,3.5,8.25,0,4
317,104,2,4.5,4,8.47,0,3
326,112,3,3.5,3,9.05,1,4
316,110,3,4,4.5,8.78,1,4
329,111,4,4.5,4.5,9.18,1,5
338,117,4,3.5,4.5,9.46,1,5
331,116,5,5,5,9.38,1,5
304,103,5,5,4,8.64,0,4
305,108,5,3,3,8.48,0,4
321,109,4,4,4,8.68,1,4
301,107,3,3.5,3.5,8.34,1,4
320,110,2,4,3.5,8.56,0,4
311,105,3,3.5,3,8.45,1,3
310,106,4,4.5,4.5,9.04,1,4
299,102,3,4,3.5,8.62,0,3
290,104,4,2,2.5,7.46,0,3
296,99,2,3,3.5,7.28,0,3
327,104,5,3,3.5,8.84,1,4
335,117,5,5,5,9.56,1,5
334,119,5,4.5,4.5,9.48,1,5
310,106,4,1.5,2.5,8.36,0,3
308,108,3,3.5,3.5,8.22,0,4
301,106,4,2.5,3,8.47,0,3
300,100,3,2,3,8.66,1,4
323,113,3,4,3,9.32,1,5
319,112,3,2.5,2,8.71,1,4
326,112,3,3.5,3,9.1,1,5
333,118,5,5,5,9.35,1,5
339,114,5,4,4.5,9.76,1,5
303,105,5,5,4.5,8.65,0,4
309,105,5,3.5,3.5,8.56,0,4
323,112,5,4,4.5,8.78,0,4
333,113,5,4,4,9.28,1,5
314,109,4,3.5,4,8.77,1,5
312,103,3,5,4,8.45,0,4
316,100,2,1.5,3,8.16,1,4
326,116,2,4.5,3,9.08,1,4
318,109,1,3.5,3.5,9.12,0,4
329,110,2,4,3,9.15,1,5
332,118,2,4.5,3.5,9.36,1,5
331,115,5,4,3.5,9.44,1,5
340,120,4,4.5,4,9.92,1,5
325,112,2,3,3.5,8.96,1,4
320,113,2,2,2.5,8.64,1,5
315,105,3,2,2.5,8.48,0,4
326,114,3,3,3,9.11,1,5
339,116,4,4,3.5,9.8,1,5
311,106,2,3.5,3,8.26,1,4
334,114,4,4,4,9.43,1,5
332,116,5,5,5,9.28,1,5
321,112,5,5,5,9.06,1,5
324,105,3,3,4,8.75,0,4
326,108,3,3,3.5,8.89,0,4
