k,GMM,Kmeans
2,0.5265306122448979,0.5265306122448979
3,0.6816326530612244,0.7142857142857143
4,0.689795918367347,0.6979591836734694
5,0.7020408163265306,0.6775510204081633
6,0.6857142857142857,0.6693877551020408
7,0.6775510204081633,0.6816326530612244
8,0.6816326530612244,0.689795918367347
9,0.7387755102040816,0.7224489795918367
10,0.7142857142857143,0.7224489795918367
15,0.7183673469387755,0.7142857142857143
20,0.7428571428571429,0.7795918367346939
25,0.763265306122449,0.7795918367346939
30,0.7836734693877551,0.7836734693877551
35,0.7836734693877551,0.7714285714285715
40,0.7755102040816326,0.7795918367346939
