k,GMM,Kmeans
2,0.13302838405754067,0.13302838405754067
3,0.2666441891145065,0.3081444128487641
4,0.22953140775894842,0.257182085082088
5,0.21632632638622531,0.2091396090589695
6,0.18801239462362399,0.1834818996283978
7,0.164297333368161,0.18746343769283505
8,0.19981676471423238,0.16133295446889273
9,0.21047477509103635,0.16689491265717463
10,0.1739970730557309,0.15860072478794038
15,0.14073208157067624,0.13614897619823138
20,0.14164136681761763,0.15810655478890168
25,0.1433730444765073,0.14873043489763926
30,0.1360944149710953,0.1381158636043501
35,0.1224242779129036,0.12560531006675843
40,0.11665478106113984,0.12314125853669154
