k,type,score,label
2,Kmeans,0.329018,1
2,Kmeans,0.235058,0
2,Kmeans,0.116595,0
2,Kmeans,0.124379,1
2,Kmeans,0.246291,0
2,Kmeans,0.226891,1
2,Kmeans,0.291144,0
2,Kmeans,0.35031,1
2,Kmeans,0.236301,0
2,Kmeans,0.290649,0
2,Kmeans,0.151744,1
2,Kmeans,0.369487,0
2,Kmeans,0.212186,0
2,Kmeans,0.270358,1
2,Kmeans,0.260376,1
2,Kmeans,0.31042,0
2,Kmeans,0.351532,1
2,Kmeans,0.269211,0
2,Kmeans,0.363379,0
2,Kmeans,0.248809,1
2,Kmeans,0.373662,1
2,Kmeans,0.322476,0
2,Kmeans,0.354854,1
2,Kmeans,0.196594,1
2,Kmeans,0.297454,0
2,Kmeans,0.267082,0
2,Kmeans,0.284419,1
2,Kmeans,0.289657,1
2,Kmeans,0.26912,0
2,Kmeans,0.300675,1
2,Kmeans,0.318218,1
2,Kmeans,0.34476,1
2,Kmeans,0.201547,1
2,Kmeans,0.278157,1
2,Kmeans,0.204304,1
2,Kmeans,0.356143,0
2,Kmeans,0.26307,0
2,Kmeans,0.325826,0
2,Kmeans,0.259982,1
2,Kmeans,0.366572,0
2,Kmeans,0.2497,0
2,Kmeans,0.157238,1
2,Kmeans,0.224771,0
2,Kmeans,0.358516,1
2,Kmeans,0.193207,1
2,Kmeans,0.303097,0
2,Kmeans,0.174965,0
2,Kmeans,0.310961,0
2,Kmeans,0.116375,0
2,Kmeans,0.237525,1
2,Kmeans,0.219484,1
2,Kmeans,0.344047,1
2,Kmeans,0.310734,0
2,Kmeans,0.35701,0
2,Kmeans,0.322871,0
2,Kmeans,0.368291,1
2,Kmeans,0.260001,1
2,Kmeans,0.259473,1
2,Kmeans,0.282349,1
2,Kmeans,0.206358,0
2,Kmeans,0.317328,0
2,Kmeans,0.360273,0
2,Kmeans,0.36649,1
2,Kmeans,0.329613,1
2,Kmeans,0.263821,1
2,Kmeans,0.251713,0
2,Kmeans,0.289036,1
2,Kmeans,0.317594,1
2,Kmeans,0.299675,0
2,Kmeans,0.331741,0
2,Kmeans,0.243367,1
2,Kmeans,0.139787,0
2,Kmeans,0.258775,0
2,Kmeans,0.254349,0
2,Kmeans,0.302757,1
2,Kmeans,0.201606,1
2,Kmeans,0.345698,0
2,Kmeans,0.18126,1
2,Kmeans,0.222967,0
2,Kmeans,0.29918,1
2,Kmeans,0.256059,1
2,Kmeans,0.344757,1
2,Kmeans,0.288731,0
2,Kmeans,0.291303,1
2,Kmeans,0.133493,1
2,Kmeans,0.36065,1
2,Kmeans,0.279343,1
2,Kmeans,0.357331,0
2,Kmeans,0.3493,1
2,Kmeans,0.2534,0
2,Kmeans,0.284488,0
2,Kmeans,0.239212,0
2,Kmeans,0.313151,0
2,Kmeans,0.286807,0
2,Kmeans,0.181238,0
2,Kmeans,0.29478,0
2,Kmeans,0.231318,0
2,Kmeans,0.175676,1
2,Kmeans,0.21165,0
2,Kmeans,0.27509,1
2,Kmeans,0.275229,0
2,Kmeans,0.191798,0
2,Kmeans,0.271355,0
2,Kmeans,0.308114,1
2,Kmeans,0.235737,0
2,Kmeans,0.226837,1
2,Kmeans,0.281124,1
2,Kmeans,0.277819,1
2,Kmeans,0.358021,0
2,Kmeans,0.200208,0
2,Kmeans,0.244583,0
2,Kmeans,0.338776,1
2,Kmeans,0.297496,0
2,Kmeans,0.315075,0
2,Kmeans,0.387433,1
2,Kmeans,0.372876,0
2,Kmeans,0.389533,0
2,Kmeans,0.128061,1
2,Kmeans,0.227228,1
2,Kmeans,0.273996,1
2,Kmeans,0.247958,0
2,Kmeans,0.378879,0
2,Kmeans,0.299301,0
2,Kmeans,0.306998,0
2,Kmeans,0.300528,0
2,Kmeans,0.203288,1
2,Kmeans,0.216027,1
2,Kmeans,0.305625,1
2,Kmeans,0.258144,1
2,Kmeans,0.185581,0
2,Kmeans,0.362938,1
2,Kmeans,0.359999,1
2,Kmeans,0.308191,1
2,Kmeans,0.277827,1
2,Kmeans,0.357893,1
2,Kmeans,0.215493,0
2,Kmeans,0.277736,1
2,Kmeans,0.279385,0
2,Kmeans,0.274884,0
2,Kmeans,0.384689,0
2,Kmeans,0.19304,0
2,Kmeans,0.276502,0
2,Kmeans,0.17414,1
2,Kmeans,0.290516,0
2,Kmeans,0.302229,0
2,Kmeans,0.221248,0
2,Kmeans,0.365422,1
2,Kmeans,0.153604,1
2,Kmeans,0.182126,1
2,Kmeans,0.363015,1
2,Kmeans,0.372451,0
2,Kmeans,0.371093,0
2,Kmeans,0.363066,0
2,Kmeans,0.221237,1
2,Kmeans,0.330695,1
2,Kmeans,0.353026,1
2,Kmeans,0.318816,0
2,Kmeans,0.35128,1
2,Kmeans,0.360196,1
2,Kmeans,0.22403,1
2,Kmeans,0.335089,0
2,Kmeans,0.184618,0
2,Kmeans,0.328693,0
2,Kmeans,0.281999,1
2,Kmeans,0.366815,1
2,Kmeans,0.312679,1
2,Kmeans,0.150358,0
2,Kmeans,0.157781,1
2,Kmeans,0.25745,1
2,Kmeans,0.257721,0
2,Kmeans,0.165458,0
2,Kmeans,0.170324,1
2,Kmeans,0.17317,1
2,Kmeans,0.302134,1
2,Kmeans,0.351919,0
2,Kmeans,0.35078,1
2,Kmeans,0.241929,0
2,Kmeans,0.314851,1
2,Kmeans,0.322123,1
2,Kmeans,0.208965,1
2,Kmeans,0.34857,1
2,Kmeans,0.252553,1
2,Kmeans,0.342897,1
2,Kmeans,0.287108,0
2,Kmeans,0.207837,1
2,Kmeans,0.27239,1
2,Kmeans,0.323787,0
2,Kmeans,0.225673,1
2,Kmeans,0.352224,1
2,Kmeans,0.164668,1
2,Kmeans,0.113064,1
2,Kmeans,0.255005,0
2,Kmeans,0.221965,0
2,Kmeans,0.271031,0
2,Kmeans,0.244505,1
2,Kmeans,0.228741,1
2,Kmeans,0.209046,1
2,Kmeans,0.292672,0
2,Kmeans,0.311332,1
2,Kmeans,0.336523,1
2,Kmeans,0.34168,0
2,Kmeans,0.228903,1
2,Kmeans,0.211825,0
2,Kmeans,0.26356,1
2,Kmeans,0.165709,1
2,Kmeans,0.23025,1
2,Kmeans,0.34243,1
2,Kmeans,0.225985,1
2,Kmeans,0.216644,0
2,Kmeans,0.274787,1
2,Kmeans,0.127497,1
2,Kmeans,0.281829,1
2,Kmeans,0.367752,0
2,Kmeans,0.329725,1
2,Kmeans,0.338195,0
2,Kmeans,0.182247,1
2,Kmeans,0.317132,1
2,Kmeans,0.34664,0
2,Kmeans,0.337179,0
2,Kmeans,0.242888,0
2,Kmeans,0.260849,1
2,Kmeans,0.326905,0
2,Kmeans,0.23373,0
2,Kmeans,0.202784,1
2,Kmeans,0.159401,0
2,Kmeans,0.252552,1
2,Kmeans,0.253194,0
2,Kmeans,0.26568,0
2,Kmeans,0.274593,1
2,Kmeans,0.195226,0
2,Kmeans,0.15771,1
2,Kmeans,0.322243,0
2,Kmeans,0.314835,0
2,Kmeans,0.316642,1
2,Kmeans,0.279131,1
2,Kmeans,0.204719,0
2,Kmeans,0.296091,1
2,Kmeans,0.261032,1
2,Kmeans,0.269523,1
2,Kmeans,0.317009,1
2,Kmeans,0.262418,1
2,Kmeans,0.215221,1
2,Kmeans,0.30119,1
2,Kmeans,0.338465,0
2,Kmeans,0.277725,1
2,GMM,0.329018,0
2,GMM,0.235058,1
2,GMM,0.116595,1
2,GMM,0.124379,0
2,GMM,0.246291,1
2,GMM,0.226891,0
2,GMM,0.291144,1
2,GMM,0.35031,0
2,GMM,0.236301,1
2,GMM,0.290649,1
2,GMM,0.151744,0
2,GMM,0.369487,1
2,GMM,0.212186,1
2,GMM,0.270358,0
2,GMM,0.260376,0
2,GMM,0.31042,1
2,GMM,0.351532,0
2,GMM,0.269211,1
2,GMM,0.363379,1
2,GMM,0.248809,0
2,GMM,0.373662,0
2,GMM,0.322476,1
2,GMM,0.354854,0
2,GMM,0.196594,0
2,GMM,0.297454,1
2,GMM,0.267082,1
2,GMM,0.284419,0
2,GMM,0.289657,0
2,GMM,0.26912,1
2,GMM,0.300675,0
2,GMM,0.318218,0
2,GMM,0.34476,0
2,GMM,0.201547,0
2,GMM,0.278157,0
2,GMM,0.204304,0
2,GMM,0.356143,1
2,GMM,0.26307,1
2,GMM,0.325826,1
2,GMM,0.259982,0
2,GMM,0.366572,1
2,GMM,0.2497,1
2,GMM,0.157238,0
2,GMM,0.224771,1
2,GMM,0.358516,0
2,GMM,0.193207,0
2,GMM,0.303097,1
2,GMM,0.174965,1
2,GMM,0.310961,1
2,GMM,0.116375,1
2,GMM,0.237525,0
2,GMM,0.219484,0
2,GMM,0.344047,0
2,GMM,0.310734,1
2,GMM,0.35701,1
2,GMM,0.322871,1
2,GMM,0.368291,0
2,GMM,0.260001,0
2,GMM,0.259473,0
2,GMM,0.282349,0
2,GMM,0.206358,1
2,GMM,0.317328,1
2,GMM,0.360273,1
2,GMM,0.36649,0
2,GMM,0.329613,0
2,GMM,0.263821,0
2,GMM,0.251713,1
2,GMM,0.289036,0
2,GMM,0.317594,0
2,GMM,0.299675,1
2,GMM,0.331741,1
2,GMM,0.243367,0
2,GMM,0.139787,1
2,GMM,0.258775,1
2,GMM,0.254349,1
2,GMM,0.302757,0
2,GMM,0.201606,0
2,GMM,0.345698,1
2,GMM,0.18126,0
2,GMM,0.222967,1
2,GMM,0.29918,0
2,GMM,0.256059,0
2,GMM,0.344757,0
2,GMM,0.288731,1
2,GMM,0.291303,0
2,GMM,0.133493,0
2,GMM,0.36065,0
2,GMM,0.279343,0
2,GMM,0.357331,1
2,GMM,0.3493,0
2,GMM,0.2534,1
2,GMM,0.284488,1
2,GMM,0.239212,1
2,GMM,0.313151,1
2,GMM,0.286807,1
2,GMM,0.181238,1
2,GMM,0.29478,1
2,GMM,0.231318,1
2,GMM,0.175676,0
2,GMM,0.21165,1
2,GMM,0.27509,0
2,GMM,0.275229,1
2,GMM,0.191798,1
2,GMM,0.271355,1
2,GMM,0.308114,0
2,GMM,0.235737,1
2,GMM,0.226837,0
2,GMM,0.281124,0
2,GMM,0.277819,0
2,GMM,0.358021,1
2,GMM,0.200208,1
2,GMM,0.244583,1
2,GMM,0.338776,0
2,GMM,0.297496,1
2,GMM,0.315075,1
2,GMM,0.387433,0
2,GMM,0.372876,1
2,GMM,0.389533,1
2,GMM,0.128061,0
2,GMM,0.227228,0
2,GMM,0.273996,0
2,GMM,0.247958,1
2,GMM,0.378879,1
2,GMM,0.299301,1
2,GMM,0.306998,1
2,GMM,0.300528,1
2,GMM,0.203288,0
2,GMM,0.216027,0
2,GMM,0.305625,0
2,GMM,0.258144,0
2,GMM,0.185581,1
2,GMM,0.362938,0
2,GMM,0.359999,0
2,GMM,0.308191,0
2,GMM,0.277827,0
2,GMM,0.357893,0
2,GMM,0.215493,1
2,GMM,0.277736,0
2,GMM,0.279385,1
2,GMM,0.274884,1
2,GMM,0.384689,1
2,GMM,0.19304,1
2,GMM,0.276502,1
2,GMM,0.17414,0
2,GMM,0.290516,1
2,GMM,0.302229,1
2,GMM,0.221248,1
2,GMM,0.365422,0
2,GMM,0.153604,0
2,GMM,0.182126,0
2,GMM,0.363015,0
2,GMM,0.372451,1
2,GMM,0.371093,1
2,GMM,0.363066,1
2,GMM,0.221237,0
2,GMM,0.330695,0
2,GMM,0.353026,0
2,GMM,0.318816,1
2,GMM,0.35128,0
2,GMM,0.360196,0
2,GMM,0.22403,0
2,GMM,0.335089,1
2,GMM,0.184618,1
2,GMM,0.328693,1
2,GMM,0.281999,0
2,GMM,0.366815,0
2,GMM,0.312679,0
2,GMM,0.150358,1
2,GMM,0.157781,0
2,GMM,0.25745,0
2,GMM,0.257721,1
2,GMM,0.165458,1
2,GMM,0.170324,0
2,GMM,0.17317,0
2,GMM,0.302134,0
2,GMM,0.351919,1
2,GMM,0.35078,0
2,GMM,0.241929,1
2,GMM,0.314851,0
2,GMM,0.322123,0
2,GMM,0.208965,0
2,GMM,0.34857,0
2,GMM,0.252553,0
2,GMM,0.342897,0
2,GMM,0.287108,1
2,GMM,0.207837,0
2,GMM,0.27239,0
2,GMM,0.323787,1
2,GMM,0.225673,0
2,GMM,0.352224,0
2,GMM,0.164668,0
2,GMM,0.113064,0
2,GMM,0.255005,1
2,GMM,0.221965,1
2,GMM,0.271031,1
2,GMM,0.244505,0
2,GMM,0.228741,0
2,GMM,0.209046,0
2,GMM,0.292672,1
2,GMM,0.311332,0
2,GMM,0.336523,0
2,GMM,0.34168,1
2,GMM,0.228903,0
2,GMM,0.211825,1
2,GMM,0.26356,0
2,GMM,0.165709,0
2,GMM,0.23025,0
2,GMM,0.34243,0
2,GMM,0.225985,0
2,GMM,0.216644,1
2,GMM,0.274787,0
2,GMM,0.127497,0
2,GMM,0.281829,0
2,GMM,0.367752,1
2,GMM,0.329725,0
2,GMM,0.338195,1
2,GMM,0.182247,0
2,GMM,0.317132,0
2,GMM,0.34664,1
2,GMM,0.337179,1
2,GMM,0.242888,1
2,GMM,0.260849,0
2,GMM,0.326905,1
2,GMM,0.23373,1
2,GMM,0.202784,0
2,GMM,0.159401,1
2,GMM,0.252552,0
2,GMM,0.253194,1
2,GMM,0.26568,1
2,GMM,0.274593,0
2,GMM,0.195226,1
2,GMM,0.15771,0
2,GMM,0.322243,1
2,GMM,0.314835,1
2,GMM,0.316642,0
2,GMM,0.279131,0
2,GMM,0.204719,1
2,GMM,0.296091,0
2,GMM,0.261032,0
2,GMM,0.269523,0
2,GMM,0.317009,0
2,GMM,0.262418,0
2,GMM,0.215221,0
2,GMM,0.30119,0
2,GMM,0.338465,1
2,GMM,0.277725,0
3,Kmeans,-0.001476,1
3,Kmeans,0.220101,2
3,Kmeans,0.045433,0
3,Kmeans,0.224368,1
3,Kmeans,0.240048,2
3,Kmeans,0.396501,0
3,Kmeans,0.273731,2
3,Kmeans,-0.102918,1
3,Kmeans,0.11338,2
3,Kmeans,0.278876,2
3,Kmeans,0.17917,1
3,Kmeans,0.31284,2
3,Kmeans,0.116798,2
3,Kmeans,0.496979,0
3,Kmeans,-0.026259,1
3,Kmeans,0.241284,2
3,Kmeans,0.135689,1
3,Kmeans,0.202975,2
3,Kmeans,0.360848,2
3,Kmeans,0.098725,1
3,Kmeans,0.354962,0
3,Kmeans,0.30127,2
3,Kmeans,0.337353,0
3,Kmeans,0.344624,0
3,Kmeans,0.259278,2
3,Kmeans,0.271086,2
3,Kmeans,0.437415,0
3,Kmeans,0.178097,0
3,Kmeans,0.253058,2
3,Kmeans,0.276523,0
3,Kmeans,0.284277,1
