k,GMM,Kmeans
2,0.27342470225609633,0.27342470225609633
3,0.2328380832518022,0.23918291070533415
4,0.1928381695246153,0.249899044735198
5,0.16573635027595962,0.2596000411081941
6,0.22973670283499417,0.26037940715994434
7,0.22243568834027277,0.26159708946434884
8,0.13196300230894847,0.26035285758536286
9,0.14297480574168148,0.2526269650408597
10,0.14354819678066205,0.2710064594438369
15,0.1788814636648151,0.26625170975680734
20,0.180769917598934,0.27900105387066043
25,0.2246763570304666,0.2901191432022124
30,0.23701066969660142,0.29963373549562355
35,0.19820538174627642,0.29359487523428696
40,0.2545228793624297,0.29776637154432756
