k,GMM,Kmeans
2,0.6763265306122449,0.7251020408163266
3,0.6712244897959184,0.7224489795918367
4,0.6889795918367347,0.7136734693877551
5,0.7148979591836735,0.6546938775510204
6,0.7318367346938776,0.7126530612244898
7,0.7357142857142858,0.7079591836734694
8,0.73,0.7206122448979592
9,0.7342857142857143,0.7210204081632653
10,0.7406122448979592,0.720204081632653
15,0.7457142857142857,0.726938775510204
20,0.7514285714285714,0.7395918367346939
25,0.7514285714285714,0.7410204081632653
30,0.75,0.7489795918367347
35,0.7571428571428571,0.75
40,0.7602040816326531,0.7510204081632653
