k,GMM,Kmeans
2,0.09799551006703368,0.1517315344198952
3,0.06479283916166066,0.11021781070527048
4,0.06288657778452493,0.11522018637462961
5,0.07959199896030153,0.06945306531858389
6,0.0801501518332505,0.07742515753807927
7,0.08326740225498795,0.07243358209598241
8,0.07946291128873244,0.06755557750026484
9,0.07957151576804615,0.06784495021675199
10,0.07940958885742236,0.06837306935239176
15,0.07070002363425229,0.05966442305668925
20,0.06864725773041251,0.05938265124228643
25,0.0641253584675973,0.0547478659995614
30,0.059699008922593985,0.054608708279228126
35,0.0582236216779952,0.05475851659630047
40,0.056495145417348985,0.05311891233902539
