,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.040376663,0.277444542,0,0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.676839016,0.690139878,0.668443599,0.656679764,0.657666263,0.669964445,0.012525797,295,0.665463891,0.675080224,0.665748494,0.6733216,0.671436676,0.670210177,0.003932848
1,1.459026909,0.617987094,0.003124428,0.006248856,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.672923692,0.721799675,0.670456204,0.696273461,0.66503156,0.685303738,0.021156265,272,0.656234528,0.732760743,0.67171275,0.720247715,0.673745698,0.690940287,0.029925633
2,1.27157321,0.359304002,0,0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.71479955,0.702141876,0.719574204,0.666979476,0.696204489,0.69995089,0.018496559,263,0.694463008,0.687272442,0.703767629,0.705430204,0.704163121,0.699019281,0.007054838
3,1.955785608,0.439222149,0.006248569,0.007652903,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.724597227,0.721887099,0.738571947,0.71451741,0.730568909,0.726028804,0.008118148,231,0.729003603,0.726837904,0.724075718,0.736698819,0.731728466,0.729668902,0.004322093
4,2.074506903,0.667992484,0.009373236,0.007653215,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.732927438,0.714206319,0.762385344,0.730474857,0.733597375,0.73471481,0.015550499,199,0.730470619,0.745279153,0.741557068,0.741821744,0.733015744,0.738428865,0.005672024
5,1.865181589,0.831580905,0.006248951,0.007653371,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.74818284,0.727763207,0.75335469,0.726060695,0.747268319,0.740526484,0.011320437,161,0.73533089,0.753165665,0.742756907,0.739611482,0.742682709,0.74270953,0.005888564
6,1.702719498,0.396055305,0.003124142,0.006248283,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.749975022,0.721156488,0.764160191,0.751755633,0.752090039,0.747820798,0.014261887,124,0.744866359,0.735255635,0.733684594,0.753759556,0.751496135,0.743812456,0.008183975
7,1.8058218,0.851989464,0.00312438,0.00624876,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.751935806,0.721799675,0.758900304,0.75322284,0.73441249,0.744051386,0.013821758,146,0.742885341,0.744678548,0.744188266,0.75639991,0.741789562,0.745988325,0.005303111
8,1.387171555,0.262773139,0.009371519,0.007651814,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.743524416,0.721225178,0.754289039,0.737587259,0.73760816,0.738844679,0.010717472,174,0.737205091,0.747575016,0.737634258,0.750401818,0.751972611,0.744957759,0.006315592
9,1.924541044,0.493731198,0.009375238,0.007654851,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.759947546,0.743767953,0.770942567,0.75429085,0.752579108,0.756304961,0.008975508,43,0.754814622,0.762987025,0.749104944,0.758686523,0.754171668,0.755952956,0.004654343
10,2.205725908,0.400757274,0.003125095,0.006250191,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.745010616,0.739115774,0.77450686,0.752896794,0.766576098,0.755614015,0.013186178,64,0.761343806,0.761713429,0.760455438,0.758403009,0.757756764,0.759934489,0.001581778
11,2.133867741,0.331612596,0,0,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.758061696,0.739115774,0.769436762,0.754372361,0.757996489,0.755793516,0.00976304,58,0.755337364,0.765395314,0.756105567,0.758842091,0.761365834,0.759409234,0.00367362
12,2.827453232,0.505126522,0.009372902,0.007652942,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.754321219,0.73593106,0.770339828,0.754702587,0.767146679,0.756481826,0.012134806,38,0.766071044,0.768768224,0.755106484,0.761035936,0.758645351,0.761925408,0.004940811
13,2.830577421,0.390768418,0.006248617,0.007652962,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.767141251,0.73944049,0.759534327,0.760514986,0.752990846,0.755922967,0.009387473,55,0.761831855,0.760208982,0.757063978,0.769007941,0.75270563,0.760163677,0.005408077
14,3.905322313,1.394903743,0.018745232,0.006248569,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.764031472,0.731840889,0.771370115,0.755191657,0.765271914,0.757536191,0.013854985,25,0.764191235,0.770538476,0.76337395,0.769509823,0.765757954,0.766674288,0.002859009
15,0.356165361,0.098500257,0,0,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.681247658,0.679530411,0.666161951,0.660441834,0.662577854,0.669999647,0.008701589,291,0.665296426,0.666425512,0.665238784,0.674787638,0.669765689,0.66830281,0.003637138
16,0.524875307,0.183667914,0,0,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 3}",0.684432372,0.698214063,0.671121511,0.670582703,0.666095389,0.678098589,0.011783405,281,0.670303816,0.699874714,0.671448379,0.698771665,0.674132403,0.682906196,0.013466438
17,0.437395096,0.119377817,0,0,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 4}",0.726963907,0.703116023,0.715248666,0.666734941,0.694977637,0.701422187,0.020447767,254,0.698523255,0.699427097,0.701009199,0.703756221,0.703245348,0.701192224,0.002052412
18,0.456141376,0.194960928,0,0,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.732921194,0.712657675,0.719891215,0.710918363,0.719278519,0.719136532,0.007749688,236,0.709964618,0.721873815,0.713433603,0.733555801,0.72130086,0.72002574,0.008158263
19,0.490505695,0.049988389,0.006248474,0.007652787,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 6}",0.733083552,0.718371425,0.743452254,0.722865025,0.732696568,0.730092927,0.008762644,221,0.714521522,0.739056076,0.726812507,0.737579198,0.73315711,0.730225282,0.008932119
20,0.506130075,0.084758639,0.006248569,0.007652903,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 7}",0.734881978,0.72940552,0.762671071,0.723933035,0.72148769,0.734479709,0.01483528,200,0.710455536,0.743999818,0.743391241,0.7323209,0.72342513,0.730718525,0.012675491
21,0.565491199,0.230306696,0.006248903,0.007653312,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 8}",0.755932309,0.721312601,0.753023079,0.717696359,0.741288718,0.73785434,0.015804163,181,0.737358209,0.743584025,0.730112194,0.737032365,0.748480282,0.739313415,0.00626032
22,0.696708012,0.187351554,0.00312438,0.00624876,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 9}",0.751529911,0.713388285,0.751262832,0.745776031,0.738667809,0.740120989,0.014169404,167,0.740500006,0.738712407,0.736262605,0.754460393,0.741789562,0.742344995,0.006335401
