k,type,score,label
2,Kmeans,0.536745,1
2,Kmeans,0.360481,1
2,Kmeans,0.470624,1
2,Kmeans,0.090921,0
2,Kmeans,0.228679,1
2,Kmeans,0.436644,1
2,Kmeans,-0.062981,0
2,Kmeans,-0.171972,0
2,Kmeans,0.425568,1
2,Kmeans,0.085591,0
2,Kmeans,0.187479,0
2,Kmeans,0.04635,0
2,Kmeans,0.338946,1
2,Kmeans,0.062023,0
2,Kmeans,0.401116,1
2,Kmeans,0.096143,0
2,Kmeans,0.044854,0
2,Kmeans,0.137514,0
2,Kmeans,0.512799,1
2,Kmeans,0.245804,1
2,Kmeans,0.511072,1
2,Kmeans,-0.056798,0
2,Kmeans,0.510901,1
2,Kmeans,0.162841,0
2,Kmeans,0.476836,1
2,Kmeans,-0.08114,0
2,Kmeans,0.387712,1
2,Kmeans,0.103121,0
2,Kmeans,0.258021,1
2,Kmeans,0.050734,0
2,Kmeans,-0.0094,0
2,Kmeans,0.530275,1
2,Kmeans,0.139795,0
2,Kmeans,0.439981,1
2,Kmeans,-0.029913,0
2,Kmeans,0.457813,1
2,Kmeans,0.10244,0
2,Kmeans,0.481311,1
2,Kmeans,0.450204,1
2,Kmeans,0.059917,0
2,Kmeans,0.134922,0
2,Kmeans,0.446663,1
2,Kmeans,0.14723,0
2,Kmeans,0.123518,0
2,Kmeans,0.528098,1
2,Kmeans,-0.095656,0
2,Kmeans,0.50284,1
2,Kmeans,0.551247,1
2,Kmeans,0.521594,1
2,Kmeans,0.080379,0
2,Kmeans,-0.068959,0
2,Kmeans,0.141502,0
2,Kmeans,0.457869,1
2,Kmeans,-0.016034,0
2,Kmeans,0.046808,0
2,Kmeans,0.161846,0
2,Kmeans,0.372464,1
2,Kmeans,0.033188,0
2,Kmeans,0.167603,0
2,Kmeans,0.127031,1
2,Kmeans,0.41979,1
2,Kmeans,0.332842,1
2,Kmeans,0.51843,1
2,Kmeans,0.012883,0
2,Kmeans,0.103927,0
2,Kmeans,0.08671,0
2,Kmeans,0.401195,1
2,Kmeans,0.31468,1
2,Kmeans,0.494209,1
2,Kmeans,0.171823,0
2,Kmeans,0.264748,1
2,Kmeans,0.402606,1
2,Kmeans,0.139075,0
2,Kmeans,0.488795,1
2,Kmeans,-0.076203,0
2,Kmeans,0.468369,1
2,Kmeans,-0.070289,0
2,Kmeans,0.431828,1
2,Kmeans,0.077275,0
2,Kmeans,0.492027,1
2,Kmeans,0.48397,1
2,Kmeans,0.208227,0
2,Kmeans,0.153376,0
2,Kmeans,0.097393,0
2,Kmeans,0.119416,0
2,Kmeans,0.391697,1
2,Kmeans,0.217826,1
2,Kmeans,0.019555,0
2,Kmeans,0.411976,1
2,Kmeans,-0.067991,0
2,Kmeans,0.095775,0
2,Kmeans,0.200834,0
2,Kmeans,0.481813,1
2,Kmeans,0.249205,1
2,Kmeans,0.112647,0
2,Kmeans,0.541975,1
2,Kmeans,0.538466,1
2,Kmeans,0.454734,1
2,Kmeans,0.107615,0
2,Kmeans,-0.071234,0
2,Kmeans,0.493698,1
2,Kmeans,0.478876,1
2,Kmeans,0.373109,1
2,Kmeans,0.125548,0
2,Kmeans,0.088455,0
2,Kmeans,0.044567,0
2,Kmeans,0.4732,1
2,Kmeans,0.314225,1
2,Kmeans,0.453293,1
2,Kmeans,-0.148057,0
2,Kmeans,0.248896,1
2,Kmeans,0.10551,0
2,Kmeans,0.465858,1
2,Kmeans,0.459855,1
2,Kmeans,0.156326,1
2,Kmeans,-0.076248,0
2,Kmeans,0.209302,1
2,Kmeans,0.430298,1
2,Kmeans,0.522924,1
2,Kmeans,0.499124,1
2,Kmeans,0.082886,0
2,Kmeans,0.381324,1
2,Kmeans,0.401195,1
2,Kmeans,0.199709,0
2,Kmeans,0.362698,1
2,Kmeans,0.433872,1
2,Kmeans,0.436339,1
2,Kmeans,0.499892,1
2,Kmeans,0.114088,0
2,Kmeans,0.126039,0
2,Kmeans,0.169017,0
2,Kmeans,-0.027295,0
2,Kmeans,0.523461,1
2,Kmeans,0.304889,1
2,Kmeans,0.139789,0
2,Kmeans,0.400244,1
2,Kmeans,0.499921,1
2,Kmeans,0.263354,1
2,Kmeans,0.286539,1
2,Kmeans,0.360279,1
2,Kmeans,0.365237,1
2,Kmeans,0.241321,0
2,Kmeans,0.429979,1
2,Kmeans,-0.205132,0
2,Kmeans,0.192804,0
2,Kmeans,0.537812,1
2,Kmeans,-0.002,0
2,Kmeans,0.066616,0
2,Kmeans,0.173791,0
2,Kmeans,0.038986,0
2,Kmeans,0.542529,1
2,Kmeans,0.082704,0
2,Kmeans,0.471641,1
2,Kmeans,-0.00722,0
2,Kmeans,0.507274,1
2,Kmeans,0.266657,1
2,Kmeans,0.185919,0
2,Kmeans,0.429345,1
2,Kmeans,0.053936,0
2,Kmeans,0.141922,0
2,Kmeans,-0.115456,0
2,Kmeans,0.107587,0
2,Kmeans,0.099585,0
2,Kmeans,0.491268,1
2,Kmeans,0.075108,0
2,Kmeans,0.460136,1
2,Kmeans,0.076943,0
2,Kmeans,0.28177,1
2,Kmeans,-0.198102,0
2,Kmeans,0.116245,0
2,Kmeans,0.075326,0
2,Kmeans,0.049469,0
2,Kmeans,0.051646,0
2,Kmeans,-0.165924,0
2,Kmeans,0.464453,1
2,Kmeans,-0.142159,0
2,Kmeans,0.062769,0
2,Kmeans,0.135515,0
2,Kmeans,0.463662,1
2,Kmeans,-0.232206,0
2,Kmeans,0.553055,1
2,Kmeans,0.347757,1
2,Kmeans,0.314829,1
2,Kmeans,0.078004,0
2,Kmeans,0.123108,0
2,Kmeans,0.178577,0
2,Kmeans,-0.110425,0
2,Kmeans,0.405295,1
2,Kmeans,0.257542,1
2,Kmeans,0.463096,1
2,Kmeans,0.430279,1
2,Kmeans,0.084623,0
2,Kmeans,0.33953,1
2,Kmeans,0.089075,0
2,Kmeans,0.094635,0
2,Kmeans,0.037763,0
2,Kmeans,0.270335,1
2,Kmeans,0.109817,0
2,Kmeans,-0.061615,0
2,Kmeans,0.210198,0
2,Kmeans,0.482636,1
2,Kmeans,0.08441,0
2,Kmeans,0.153737,0
2,Kmeans,0.042234,0
2,Kmeans,0.448582,1
2,Kmeans,0.425489,1
2,Kmeans,0.523512,1
2,Kmeans,0.316496,1
2,Kmeans,0.102473,0
2,Kmeans,0.308045,1
2,Kmeans,0.390317,1
2,Kmeans,0.138118,0
2,Kmeans,0.431293,1
2,Kmeans,0.306045,1
2,Kmeans,0.046879,0
2,Kmeans,0.095896,0
2,Kmeans,0.410423,1
2,Kmeans,0.546285,1
2,Kmeans,0.100057,0
2,Kmeans,0.487095,1
2,Kmeans,0.062668,0
2,Kmeans,0.28879,1
2,Kmeans,0.174017,1
2,Kmeans,0.463285,1
2,Kmeans,0.457345,1
2,Kmeans,0.467236,1
2,Kmeans,0.042658,0
2,Kmeans,0.501897,1
2,Kmeans,0.362317,1
2,Kmeans,0.365087,1
2,Kmeans,0.286989,1
2,Kmeans,0.136689,0
2,Kmeans,0.438051,1
2,Kmeans,0.443899,1
2,Kmeans,0.207737,1
2,Kmeans,0.515961,1
2,Kmeans,0.456223,1
2,Kmeans,0.219638,1
2,Kmeans,0.360591,1
2,Kmeans,0.03692,0
2,Kmeans,-0.166904,0
2,Kmeans,0.037051,0
2,Kmeans,0.050914,0
2,Kmeans,0.064773,0
2,Kmeans,0.074544,0
2,Kmeans,0.134382,0
2,Kmeans,0.10436,0
2,Kmeans,-0.003786,0
2,Kmeans,0.034898,0
2,Kmeans,0.042658,0
2,Kmeans,0.131328,0
2,Kmeans,0.256318,1
2,Kmeans,0.206857,0
2,Kmeans,0.010321,0
2,Kmeans,0.225585,0
2,Kmeans,0.125885,0
2,Kmeans,0.206868,0
2,Kmeans,0.086318,0
2,Kmeans,0.461938,1
2,Kmeans,0.51674,1
2,Kmeans,0.423426,1
2,Kmeans,0.37114,1
2,Kmeans,-0.032902,0
2,Kmeans,0.204641,1
2,Kmeans,0.532113,1
2,Kmeans,0.054388,0
2,Kmeans,0.229147,1
2,Kmeans,0.210967,1
2,Kmeans,0.058202,0
2,Kmeans,0.479327,1
2,Kmeans,0.382485,1
2,Kmeans,0.320485,1
2,Kmeans,0.142627,0
2,Kmeans,0.316649,1
2,Kmeans,0.338835,1
2,Kmeans,0.101607,0
2,Kmeans,0.426404,1
2,Kmeans,0.030786,0
2,Kmeans,-0.130702,0
2,Kmeans,-0.08581,0
2,Kmeans,0.517362,1
2,Kmeans,0.52161,1
2,Kmeans,0.424062,1
2,Kmeans,0.393915,1
2,Kmeans,0.068655,0
2,Kmeans,0.559474,1
2,Kmeans,0.286794,1
2,Kmeans,0.450062,1
2,Kmeans,0.057954,0
2,Kmeans,0.11243,0
2,Kmeans,0.101347,0
