k,GMM,Kmeans
2,0.27378881670549293,0.23474969379915495
3,0.21614888811830135,0.27296855032222417
4,0.25202345648585556,0.2944984484472659
5,0.2598380716552213,0.31952564210743295
6,0.24078862285774608,0.3119310310356767
7,0.24232532671732068,0.310958880739904
8,0.18973079655071864,0.2911754878396805
9,0.19375146239565147,0.29591499818877504
10,0.16757422407418918,0.2922982437669082
15,0.14682852246216516,0.2576304411813616
20,0.15090428339334797,0.25401246978722763
25,0.14676255589420956,0.22442697309608403
30,0.1184742290029972,0.2258195584934326
35,0.1429892146898273,0.23158250499855235
40,0.1629332009464762,0.2232923984068828
