k,GMM,Kmeans
2,0.6530612244897959,0.6204081632653061
3,0.7183673469387755,0.7183673469387755
4,0.7714285714285715,0.763265306122449
5,0.7591836734693878,0.7428571428571429
6,0.7673469387755102,0.7918367346938775
7,0.763265306122449,0.7673469387755102
8,0.763265306122449,0.7714285714285715
9,0.7673469387755102,0.7673469387755102
10,0.7755102040816326,0.763265306122449
15,0.8081632653061225,0.8040816326530612
20,0.8122448979591836,0.8
25,0.8040816326530612,0.8163265306122449
30,0.8285714285714286,0.8040816326530612
35,0.8285714285714286,0.8122448979591836
40,0.8285714285714286,0.8285714285714286
