k,GMM,Kmeans
2,0.2889603827383697,0.27128407119210673
3,0.4150731589992204,0.41723145732184064
4,0.36802521070215083,0.3347180286736796
5,0.3254766635624462,0.3245357906078255
6,0.28920856137041845,0.3061619351907186
7,0.2774657842755512,0.2835847114443667
8,0.2512607149082506,0.2857059054448769
9,0.24986155535939072,0.2647251680640337
10,0.2389711049825458,0.24098917226610445
15,0.2202985579786627,0.2193326895402445
20,0.20014996597496798,0.19178446664690588
25,0.16912094916394396,0.1809046692374714
30,0.1685567496970398,0.16162925164184472
35,0.15882886186878767,0.1502993402452507
40,0.14873139837368693,0.14439230101536274
