k,type,score,label
2,Kmeans,0.187549,1
2,Kmeans,0.670675,0
2,Kmeans,0.688482,1
2,Kmeans,0.700402,0
2,Kmeans,0.727064,0
2,Kmeans,0.711986,1
2,Kmeans,0.56676,0
2,Kmeans,0.682865,1
2,Kmeans,0.204043,0
2,Kmeans,0.71203,0
2,Kmeans,0.259304,1
2,Kmeans,0.584526,0
2,Kmeans,0.596782,0
2,Kmeans,0.64923,1
2,Kmeans,0.672083,1
2,Kmeans,0.106217,0
2,Kmeans,0.337137,1
2,Kmeans,0.5621,0
2,Kmeans,0.720542,0
2,Kmeans,0.624429,1
2,Kmeans,0.723746,1
2,Kmeans,0.711148,0
2,Kmeans,0.736209,1
2,Kmeans,0.723368,1
2,Kmeans,0.726913,0
2,Kmeans,0.698047,0
2,Kmeans,0.683982,1
2,Kmeans,0.736167,1
2,Kmeans,0.711071,0
2,Kmeans,0.676422,1
2,Kmeans,0.141473,0
2,Kmeans,0.721898,1
2,Kmeans,0.646116,1
2,Kmeans,0.627995,1
2,Kmeans,0.680751,0
2,Kmeans,0.725364,0
2,Kmeans,0.621245,0
2,Kmeans,0.311293,0
2,Kmeans,0.634115,1
2,Kmeans,0.710336,0
2,Kmeans,0.727203,0
2,Kmeans,0.7272,0
2,Kmeans,0.726147,0
2,Kmeans,0.733197,1
2,Kmeans,0.661482,1
2,Kmeans,0.349677,0
2,Kmeans,0.438694,0
2,Kmeans,0.630775,0
2,Kmeans,0.446779,0
2,Kmeans,0.735034,1
2,Kmeans,0.512118,1
2,Kmeans,0.583073,1
2,Kmeans,0.627422,0
2,Kmeans,0.723736,0
2,Kmeans,0.437699,0
2,Kmeans,0.209945,1
2,Kmeans,0.689166,1
2,Kmeans,0.695537,0
2,Kmeans,0.73617,1
2,Kmeans,0.715257,1
2,Kmeans,0.726274,0
2,Kmeans,0.70949,0
2,Kmeans,0.735723,1
2,Kmeans,0.295886,0
2,Kmeans,0.627307,1
2,Kmeans,0.67543,0
