k,GMM,Kmeans
2,0.5867510745531566,0.5899741018513183
3,0.5418396816206389,0.5391104768282383
4,0.5553695639439808,0.5605160261194386
5,0.5634173029939564,0.5591580371088555
6,0.5461329489544561,0.5525779026161056
7,0.5471460432699928,0.5537154049859806
8,0.5263373902527412,0.5555018113115772
9,0.5338666077763248,0.570685060267701
10,0.5409538025713716,0.5728891650072577
15,0.5984968344090325,0.5957826204920925
20,0.5756070658227224,0.5995311834590283
25,0.5528540164562927,0.5756115922430379
30,0.5745269088738482,0.5919189936967905
35,0.5907100013444113,0.6005969656610017
40,0.6024549768152657,0.620307788258458
