k,GMM,Kmeans
2,0.6759183673469388,0.7238775510204082
3,0.7220408163265306,0.7330612244897959
4,0.7393877551020408,0.7297959183673469
5,0.7242857142857143,0.7224489795918367
6,0.7393877551020408,0.7308163265306122
7,0.713265306122449,0.7240816326530612
8,0.736938775510204,0.7306122448979592
9,0.7426530612244898,0.7322448979591837
10,0.7273469387755102,0.7318367346938776
15,0.7251020408163266,0.7259183673469388
20,0.7342857142857143,0.743061224489796
25,0.7314285714285714,0.736734693877551
30,0.7444897959183674,0.7395918367346939
35,0.7444897959183674,0.7481632653061224
40,0.7475510204081632,0.7418367346938776
