k,GMM,Kmeans
2,0.09681185228365388,0.14894109825775367
3,0.10341509855329134,0.11940540525373465
4,0.1048660948603842,0.1234908019553764
5,0.08363768342199661,0.08815299969689003
6,0.08228939375047957,0.08463794389654311
7,0.0737669737091291,0.07110710356906345
8,0.07609410131668609,0.07078721914889784
9,0.07438862294502187,0.06845314201230046
10,0.0685592636546857,0.0692723496812314
15,0.060828441872805915,0.05922636850661381
20,0.05813691322245914,0.05784440846339171
25,0.05677813504397125,0.05498529934984007
30,0.053703784841910115,0.05316794776373823
35,0.05284968357123837,0.051872564739066714
40,0.052922040616993904,0.050205052997187756
