,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.209089136,0.298133466,0.009372902,0.007652942,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.681653553,0.681978269,0.672579347,0.654959662,0.671903607,0.672622391,0.00981263,291,0.670116135,0.666809612,0.673714827,0.674525101,0.681517967,0.673336729,0.004928759
1,1.240332031,0.168420598,0.009372759,0.007652826,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.748751093,0.730529537,0.762053733,0.725726289,0.715267734,0.736473491,0.016764358,192,0.739573079,0.746483493,0.736760582,0.74349273,0.723667472,0.737995471,0.007893944
2,1.36842494,0.426732338,0.003124094,0.006248188,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.752341701,0.707768203,0.707135677,0.696191949,0.698332149,0.712367321,0.020524551,274,0.744490997,0.707374256,0.697996828,0.723884407,0.70411374,0.715572046,0.016809437
3,3.055524921,1.678910596,0.009372377,0.007652514,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.744598476,0.719345573,0.735942004,0.72098608,0.730487397,0.730274451,0.009415961,256,0.741605876,0.741649307,0.727693484,0.730819684,0.731442737,0.734642217,0.005843375
4,2.155737019,0.884445183,0.003124046,0.006248093,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.742962408,0.719670288,0.758155744,0.727527902,0.733104126,0.736284502,0.013311718,203,0.738715276,0.742908426,0.733882742,0.746393406,0.737419851,0.73986394,0.004358223
5,2.311950302,0.916158488,0.006248379,0.00765267,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.743118521,0.709454228,0.752706068,0.736274715,0.747586005,0.737821522,0.015184196,169,0.737184875,0.738213011,0.729170208,0.753437867,0.745682797,0.740737752,0.008228629
6,2.149489403,0.52952189,0.009372759,0.007652826,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.752341701,0.714443612,0.763115305,0.729659742,0.750125402,0.741934499,0.017499173,107,0.736338811,0.738620066,0.728870379,0.747816839,0.750131073,0.740355434,0.007775435
7,1.962033558,0.326719701,0.012497234,0.006248617,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.752585238,0.726526789,0.750169977,0.731868913,0.750039711,0.742237555,0.01082033,105,0.742469547,0.744742195,0.733786275,0.751635286,0.746597572,0.743846175,0.005867537
8,2.730601692,0.680155985,0.006248522,0.007652845,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.7515424,0.726539278,0.74305599,0.729904276,0.729668102,0.736145787,0.009573526,205,0.738905827,0.733687671,0.727101125,0.740425281,0.735576099,0.735139201,0.004669874
9,3.10496974,0.650381556,0.009372854,0.012497258,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.748189085,0.737729487,0.757870017,0.735304937,0.735810726,0.742983871,0.008793899,96,0.741542359,0.739477608,0.739472342,0.744344705,0.742405188,0.74144844,0.001849415
