k,type,score,label
2,Kmeans,0.564955,1
2,Kmeans,0.410265,1
2,Kmeans,0.442296,1
2,Kmeans,0.295247,0
2,Kmeans,0.241643,1
2,Kmeans,0.44406,1
2,Kmeans,0.012313,0
2,Kmeans,-0.106761,0
2,Kmeans,0.46467,1
2,Kmeans,0.159115,0
2,Kmeans,0.297701,0
2,Kmeans,0.278259,0
2,Kmeans,0.355684,1
2,Kmeans,0.207896,0
2,Kmeans,0.494243,1
2,Kmeans,0.28814,0
2,Kmeans,0.178111,0
2,Kmeans,0.163185,0
2,Kmeans,0.551799,1
2,Kmeans,0.226154,1
2,Kmeans,0.547655,1
2,Kmeans,-0.037621,0
2,Kmeans,0.520915,1
2,Kmeans,0.274466,0
2,Kmeans,0.492753,1
2,Kmeans,-0.069242,0
2,Kmeans,0.423543,1
2,Kmeans,0.130699,0
2,Kmeans,0.354422,1
2,Kmeans,0.140507,0
2,Kmeans,0.13293,0
2,Kmeans,0.555145,1
2,Kmeans,0.251557,0
2,Kmeans,0.51266,1
2,Kmeans,-0.018902,0
2,Kmeans,0.473154,1
2,Kmeans,0.175111,0
2,Kmeans,0.526136,1
2,Kmeans,0.482941,1
2,Kmeans,0.263328,0
2,Kmeans,0.20848,0
2,Kmeans,0.515826,1
2,Kmeans,0.274327,0
2,Kmeans,0.195497,0
2,Kmeans,0.539312,1
2,Kmeans,-0.122687,0
2,Kmeans,0.507442,1
2,Kmeans,0.540523,1
2,Kmeans,0.517993,1
2,Kmeans,0.198699,0
2,Kmeans,-0.048214,0
2,Kmeans,0.245345,0
2,Kmeans,0.496848,1
2,Kmeans,0.116591,0
2,Kmeans,0.079448,0
2,Kmeans,0.305185,0
2,Kmeans,0.437776,1
2,Kmeans,0.136767,0
2,Kmeans,0.287995,0
2,Kmeans,0.097437,1
2,Kmeans,0.50265,1
2,Kmeans,0.292,1
2,Kmeans,0.548435,1
2,Kmeans,0.110955,0
2,Kmeans,0.242746,0
2,Kmeans,0.26111,0
2,Kmeans,0.441661,1
2,Kmeans,0.428557,1
2,Kmeans,0.503591,1
2,Kmeans,0.309666,0
2,Kmeans,0.351611,1
2,Kmeans,0.32166,1
2,Kmeans,0.240697,0
2,Kmeans,0.536086,1
2,Kmeans,-0.010249,0
2,Kmeans,0.474778,1
2,Kmeans,-0.052503,0
2,Kmeans,0.348733,1
2,Kmeans,0.15518,0
2,Kmeans,0.54325,1
2,Kmeans,0.500855,1
2,Kmeans,0.367006,0
2,Kmeans,0.288345,0
2,Kmeans,0.176152,0
2,Kmeans,0.133927,0
2,Kmeans,0.499914,1
2,Kmeans,0.32046,1
2,Kmeans,0.021206,0
2,Kmeans,0.450866,1
2,Kmeans,-0.012437,0
2,Kmeans,0.107836,0
2,Kmeans,0.243445,0
2,Kmeans,0.500622,1
2,Kmeans,0.244602,1
2,Kmeans,0.233543,0
2,Kmeans,0.569283,1
2,Kmeans,0.56167,1
2,Kmeans,0.498867,1
2,Kmeans,0.157725,0
2,Kmeans,0.128714,1
2,Kmeans,0.518537,1
2,Kmeans,0.489983,1
2,Kmeans,0.402723,1
2,Kmeans,0.217033,0
2,Kmeans,0.239332,0
2,Kmeans,0.208576,0
2,Kmeans,0.515203,1
2,Kmeans,0.227277,1
2,Kmeans,0.499059,1
2,Kmeans,0.15264,1
2,Kmeans,0.247508,1
2,Kmeans,0.150892,0
2,Kmeans,0.512984,1
2,Kmeans,0.509521,1
2,Kmeans,0.17355,1
2,Kmeans,0.011354,0
2,Kmeans,0.221619,1
2,Kmeans,0.446873,1
2,Kmeans,0.557231,1
2,Kmeans,0.552535,1
2,Kmeans,0.26774,0
2,Kmeans,0.41475,1
2,Kmeans,0.441661,1
2,Kmeans,0.185751,0
2,Kmeans,0.421471,1
2,Kmeans,0.498724,1
2,Kmeans,0.482375,1
2,Kmeans,0.492996,1
2,Kmeans,0.181028,0
2,Kmeans,0.219276,0
2,Kmeans,0.28477,0
2,Kmeans,-0.071245,0
2,Kmeans,0.481354,1
2,Kmeans,0.195116,1
2,Kmeans,0.249545,0
2,Kmeans,0.454054,1
2,Kmeans,0.503111,1
2,Kmeans,0.364156,1
2,Kmeans,0.340951,1
2,Kmeans,0.358309,1
2,Kmeans,0.36654,1
2,Kmeans,0.312623,0
2,Kmeans,0.47645,1
2,Kmeans,0.258106,1
2,Kmeans,0.302133,0
2,Kmeans,0.513497,1
2,Kmeans,0.182107,0
2,Kmeans,0.221616,0
2,Kmeans,0.202642,0
2,Kmeans,0.028824,0
2,Kmeans,0.554474,1
2,Kmeans,0.123576,0
2,Kmeans,0.526913,1
2,Kmeans,0.148607,0
2,Kmeans,0.529284,1
2,Kmeans,0.269416,1
2,Kmeans,0.253785,0
2,Kmeans,0.485175,1
2,Kmeans,0.113393,0
2,Kmeans,0.237925,0
2,Kmeans,-0.078078,0
2,Kmeans,0.141861,0
2,Kmeans,0.268987,0
2,Kmeans,0.525583,1
2,Kmeans,0.246299,0
2,Kmeans,0.511296,1
2,Kmeans,0.181384,0
2,Kmeans,0.405929,1
2,Kmeans,0.221114,1
2,Kmeans,0.26815,0
2,Kmeans,0.181654,0
2,Kmeans,0.218414,0
2,Kmeans,0.179794,0
2,Kmeans,-0.135077,0
2,Kmeans,0.502775,1
2,Kmeans,-0.119475,0
2,Kmeans,0.200498,0
2,Kmeans,0.25587,0
2,Kmeans,0.531637,1
2,Kmeans,0.197623,1
2,Kmeans,0.544758,1
2,Kmeans,0.349214,1
2,Kmeans,0.344858,1
2,Kmeans,0.274013,0
2,Kmeans,0.120087,0
2,Kmeans,0.336983,0
2,Kmeans,-0.051756,0
2,Kmeans,0.468409,1
2,Kmeans,0.290695,1
2,Kmeans,0.443957,1
2,Kmeans,0.519505,1
2,Kmeans,0.090788,0
2,Kmeans,0.395705,1
2,Kmeans,0.265331,0
2,Kmeans,0.280405,0
2,Kmeans,-0.006358,0
2,Kmeans,0.322245,1
2,Kmeans,0.287192,0
2,Kmeans,0.026636,0
2,Kmeans,0.301468,0
2,Kmeans,0.52052,1
2,Kmeans,0.106263,0
2,Kmeans,0.266801,0
2,Kmeans,0.064821,0
2,Kmeans,0.490318,1
2,Kmeans,0.388959,1
2,Kmeans,0.518412,1
2,Kmeans,0.330351,1
2,Kmeans,0.178425,0
2,Kmeans,0.332579,1
2,Kmeans,0.442389,1
2,Kmeans,0.193815,0
2,Kmeans,0.467266,1
2,Kmeans,0.331637,1
2,Kmeans,0.144107,0
2,Kmeans,0.13807,0
2,Kmeans,0.424657,1
2,Kmeans,0.56264,1
2,Kmeans,0.147603,0
2,Kmeans,0.51298,1
2,Kmeans,0.155334,0
2,Kmeans,0.263207,1
2,Kmeans,0.296804,1
2,Kmeans,0.478607,1
2,Kmeans,0.527148,1
2,Kmeans,0.501666,1
2,Kmeans,0.127298,0
2,Kmeans,0.491739,1
2,Kmeans,0.398766,1
2,Kmeans,0.431662,1
2,Kmeans,0.245082,1
2,Kmeans,0.34812,0
2,Kmeans,0.436781,1
2,Kmeans,0.372048,1
2,Kmeans,-0.136082,0
2,Kmeans,0.488682,1
2,Kmeans,0.47296,1
2,Kmeans,0.158809,1
2,Kmeans,0.417141,1
2,Kmeans,0.22404,0
2,Kmeans,0.250204,1
2,Kmeans,0.071191,0
2,Kmeans,0.056081,0
2,Kmeans,0.263431,0
2,Kmeans,0.181537,0
2,Kmeans,0.210795,0
2,Kmeans,0.254573,0
2,Kmeans,0.173377,0
2,Kmeans,0.151319,0
2,Kmeans,0.127298,0
2,Kmeans,0.242312,0
2,Kmeans,0.2694,1
2,Kmeans,0.230463,0
2,Kmeans,0.21039,0
2,Kmeans,0.313408,0
2,Kmeans,0.235117,0
2,Kmeans,0.266383,0
2,Kmeans,0.110067,0
2,Kmeans,0.476747,1
2,Kmeans,0.470878,1
2,Kmeans,0.468886,1
2,Kmeans,0.418556,1
2,Kmeans,0.099261,0
2,Kmeans,0.250677,1
2,Kmeans,0.560185,1
2,Kmeans,0.160808,0
2,Kmeans,0.179289,1
2,Kmeans,0.159861,1
2,Kmeans,0.157889,0
2,Kmeans,0.495979,1
2,Kmeans,0.353084,1
2,Kmeans,0.352697,1
2,Kmeans,0.240347,0
2,Kmeans,0.317648,1
2,Kmeans,0.369805,1
2,Kmeans,0.148379,0
2,Kmeans,0.448354,1
2,Kmeans,0.06411,0
2,Kmeans,0.224077,1
2,Kmeans,-0.072412,0
2,Kmeans,0.502793,1
2,Kmeans,0.561744,1
2,Kmeans,0.38741,1
2,Kmeans,0.428643,1
2,Kmeans,0.166518,0
2,Kmeans,0.574248,1
2,Kmeans,0.2301,1
2,Kmeans,0.496553,1
2,Kmeans,0.102878,0
2,Kmeans,0.255213,0
2,Kmeans,0.255909,0
2,Kmeans,0.136597,1
2,Kmeans,0.282609,0
