k,GMM,Kmeans
2,0.31264880498468467,0.30309519782911554
3,0.26616439207234477,0.2997410125509329
4,0.21735712755185027,0.30164689787921867
5,0.22546047310555312,0.276224170141197
6,0.19847630040946787,0.26477871405244097
7,0.15241288648631715,0.25590239789406033
8,0.1534806595389643,0.2524856025888317
9,0.13329616299017863,0.24478314382794503
10,0.13452336023274897,0.2498999799701688
15,0.08761491214716562,0.2188744623885014
20,0.04393990962655678,0.21360066558848995
25,0.060250322896986966,0.19738246254680436
30,0.03643060761299079,0.19850732304008717
35,0.03705137231638497,0.19579976289336057
40,0.046327410250087096,0.18444550666626178
