k,GMM,Kmeans
2,0.5265306122448979,0.5265306122448979
3,0.7591836734693878,0.7551020408163265
4,0.6775510204081633,0.7346938775510204
5,0.7795918367346939,0.7673469387755102
6,0.7795918367346939,0.7795918367346939
7,0.7795918367346939,0.7755102040816326
8,0.7795918367346939,0.7795918367346939
9,0.7795918367346939,0.7795918367346939
10,0.7755102040816326,0.7714285714285715
15,0.7795918367346939,0.7836734693877551
20,0.7836734693877551,0.7836734693877551
25,0.7959183673469388,0.7877551020408163
30,0.7959183673469388,0.8
35,0.8,0.7959183673469388
40,0.7959183673469388,0.8
