k,GMM,Kmeans
2,0.22892336096226704,0.2622861221457288
3,0.4128320635315363,0.40704371833976116
4,0.33997594644630225,0.36031512689374495
5,0.3437704453023763,0.3406860660840484
6,0.31881981652387115,0.31063457231083846
7,0.31557065896629233,0.285970118697448
8,0.2716527645817523,0.2742843797302479
9,0.2557466545019576,0.2641701973170204
10,0.24334135175079563,0.24933612001147434
15,0.20170378803370848,0.2102476959320181
20,0.18860061994286254,0.18480774346256976
25,0.1767183934446457,0.16770393038835232
30,0.1605909649106603,0.15359019448890632
35,0.1449351154281239,0.141594894205671
40,0.13020515247317352,0.13887367195525452
