k,type,score,label
2,Kmeans,0.044894,0
2,Kmeans,0.560758,0
2,Kmeans,0.577515,1
2,Kmeans,0.694795,0
2,Kmeans,0.265246,0
2,Kmeans,0.726085,1
2,Kmeans,0.212418,0
2,Kmeans,0.668491,1
2,Kmeans,0.162489,1
2,Kmeans,0.715384,1
2,Kmeans,0.162489,1
2,Kmeans,0.289071,0
2,Kmeans,0.614606,0
2,Kmeans,0.673829,1
2,Kmeans,0.726085,1
2,Kmeans,0.162489,1
2,Kmeans,0.239619,0
2,Kmeans,0.64742,0
2,Kmeans,0.657991,0
2,Kmeans,0.700079,1
2,Kmeans,0.715384,1
2,Kmeans,0.457701,1
2,Kmeans,0.721107,1
2,Kmeans,0.715963,1
2,Kmeans,0.623629,0
2,Kmeans,0.536576,1
2,Kmeans,0.589584,1
2,Kmeans,0.707895,1
2,Kmeans,0.331002,1
2,Kmeans,0.420772,1
2,Kmeans,0.575694,1
2,Kmeans,0.724866,1
2,Kmeans,0.596758,1
2,Kmeans,0.630838,1
2,Kmeans,0.044894,0
2,Kmeans,0.539003,0
2,Kmeans,0.212418,0
2,Kmeans,0.49113,1
2,Kmeans,0.621135,1
2,Kmeans,0.703084,0
2,Kmeans,0.677042,0
2,Kmeans,0.212418,0
2,Kmeans,0.677042,0
2,Kmeans,0.72645,1
2,Kmeans,0.586567,1
2,Kmeans,0.279398,1
2,Kmeans,0.726203,1
2,Kmeans,0.094394,1
2,Kmeans,0.702752,0
2,Kmeans,0.721107,1
2,Kmeans,0.378306,1
2,Kmeans,0.637253,1
2,Kmeans,0.703084,0
2,Kmeans,0.411777,0
2,Kmeans,0.596758,1
2,Kmeans,0.182228,0
2,Kmeans,0.663813,1
2,Kmeans,0.604342,0
2,Kmeans,0.719724,1
2,Kmeans,0.726203,1
2,Kmeans,0.550165,0
2,Kmeans,0.671118,0
2,Kmeans,0.717652,1
2,Kmeans,0.044894,0
2,Kmeans,0.649892,1
2,Kmeans,0.693344,0
2,Kmeans,0.726423,1
2,Kmeans,0.703911,1
2,Kmeans,0.604342,0
2,Kmeans,0.289071,0
2,Kmeans,0.726085,1
2,Kmeans,0.550326,1
2,Kmeans,0.400115,1
2,Kmeans,0.212418,0
2,Kmeans,0.212418,0
2,Kmeans,0.719724,1
2,Kmeans,0.536576,1
2,Kmeans,0.700418,0
2,Kmeans,0.537943,0
2,Kmeans,0.707895,1
2,Kmeans,0.678837,0
2,Kmeans,0.710079,1
2,Kmeans,0.279398,1
2,Kmeans,0.723946,1
2,Kmeans,0.442091,0
2,Kmeans,0.550326,1
2,Kmeans,0.522004,1
2,Kmeans,0.150236,0
2,Kmeans,0.703911,1
2,Kmeans,0.605508,0
2,Kmeans,0.626335,0
2,Kmeans,0.704631,0
2,Kmeans,0.563287,1
2,Kmeans,0.703084,0
2,Kmeans,0.72645,1
2,Kmeans,0.393264,0
2,Kmeans,0.605903,1
2,Kmeans,0.704345,0
2,Kmeans,0.162489,1
2,Kmeans,0.725689,1
2,Kmeans,0.668403,0
2,Kmeans,0.614621,1
2,Kmeans,0.552269,0
2,Kmeans,0.559932,1
2,Kmeans,0.596758,1
2,Kmeans,0.518473,1
2,Kmeans,0.702752,0
2,Kmeans,0.64683,1
2,Kmeans,0.560551,0
2,Kmeans,0.4455,0
2,Kmeans,0.116684,0
2,Kmeans,0.663175,1
2,Kmeans,0.67531,0
2,Kmeans,0.460809,0
2,Kmeans,0.439868,1
2,Kmeans,0.439868,1
2,Kmeans,0.57043,0
2,Kmeans,0.588972,0
2,Kmeans,0.640426,1
2,Kmeans,0.212418,0
2,Kmeans,0.420772,1
2,Kmeans,0.550165,0
2,Kmeans,0.614621,1
2,Kmeans,0.700418,0
2,Kmeans,0.575694,1
2,Kmeans,0.719724,1
2,Kmeans,0.411777,0
2,Kmeans,0.64683,1
2,Kmeans,0.529196,1
2,Kmeans,0.67842,1
2,Kmeans,0.725689,1
2,Kmeans,0.719492,1
2,Kmeans,0.712175,1
2,Kmeans,0.704631,0
2,Kmeans,0.575694,1
2,Kmeans,0.475143,0
2,Kmeans,0.018443,1
2,Kmeans,0.671118,0
2,Kmeans,0.044894,0
2,Kmeans,0.588972,0
2,Kmeans,0.724781,1
2,Kmeans,0.668403,0
2,Kmeans,0.614621,1
2,Kmeans,0.411777,0
2,Kmeans,0.671118,0
2,Kmeans,0.722861,1
2,Kmeans,0.333168,0
2,Kmeans,0.698874,0
2,Kmeans,0.681845,0
2,Kmeans,0.707186,1
2,Kmeans,0.539003,0
2,Kmeans,0.68003,0
2,Kmeans,0.588972,0
2,Kmeans,0.378306,1
2,Kmeans,0.703146,1
2,Kmeans,0.50208,0
2,Kmeans,0.689428,0
2,Kmeans,0.722861,1
2,Kmeans,0.644246,1
2,Kmeans,0.548531,1
2,Kmeans,0.687134,0
2,Kmeans,0.605508,0
2,Kmeans,0.703084,0
2,Kmeans,0.663175,1
2,Kmeans,0.614621,1
2,Kmeans,0.331002,1
2,Kmeans,0.673334,0
2,Kmeans,0.67531,0
2,Kmeans,0.722486,1
2,Kmeans,0.614606,0
2,Kmeans,0.703084,0
2,Kmeans,0.094394,1
2,Kmeans,0.378306,1
2,Kmeans,0.182228,0
2,Kmeans,0.704631,0
2,Kmeans,0.712175,1
2,Kmeans,0.656379,0
2,Kmeans,0.658699,1
2,Kmeans,0.661291,1
2,Kmeans,0.658699,1
2,Kmeans,0.663175,1
