k,GMM,Kmeans
2,0.5589579699657603,0.5611761329981358
3,0.57047233261228,0.5702154926193015
4,0.5401357884853255,0.5297084615598108
5,0.542387493017396,0.547970376610315
6,0.5552182998437205,0.5718872209490463
7,0.5157920979862295,0.5713505151303765
8,0.563247057586201,0.5989915360365697
9,0.5456097962817044,0.600284066993488
10,0.5111008612391235,0.5889788367176045
15,0.5099883711924631,0.5918446401518767
20,0.5833103284647395,0.60426622899826
25,0.6072675439723366,0.6175054429440117
30,0.5796459993212187,0.6043240695256876
35,0.5831190038976344,0.5918024700797743
40,0.5759379635569832,0.5883468287298912
