k,GMM,Kmeans
2,0.7342857142857143,0.7344897959183674
3,0.7426530612244898,0.743061224489796
4,0.7238775510204082,0.7242857142857143
5,0.7342857142857143,0.726530612244898
6,0.7448979591836735,0.7453061224489796
7,0.7448979591836735,0.7453061224489796
8,0.7448979591836735,0.7453061224489796
9,0.7451020408163266,0.7451020408163266
10,0.7451020408163266,0.7451020408163266
15,0.7453061224489796,0.7453061224489796
20,0.7453061224489796,0.7453061224489796
25,0.7453061224489796,0.7453061224489796
30,0.7453061224489796,0.7453061224489796
35,0.7453061224489796,0.7453061224489796
40,0.7453061224489796,0.7453061224489796
