k,GMM,Kmeans
2,0.16786665360014166,0.16824486850626724
3,0.15509460624263197,0.15517069620216786
4,0.12173237851041281,0.12222512449223948
5,0.1141166733781932,0.11959629913415822
6,0.11462056614461315,0.1148131269992252
7,0.10989963986890439,0.11008416223572573
8,0.10895825360108305,0.10914004812759408
9,0.10731899428322528,0.10731899428322528
10,0.10665274045961205,0.10665274045961205
15,0.10597931817801963,0.10597931817801963
20,0.10597931817801962,0.1059793181780196
25,0.10597931817801962,0.1059793181780196
30,0.10597931817801962,0.1059793181780196
35,0.10597931817801962,0.1059793181780196
40,0.10597931817801962,0.1059793181780196
