,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.681088924,0.030611731,0.003124332,0.006248665,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.737067566,0.72260522,0.750662178,0.719583664,0.749138904,0.73580966,0.012940001,240,0.735781507,0.739116854,0.732382553,0.739864247,0.732766627,0.735982357,0.003105929
1,0.752947569,0.030291364,0.003124332,0.006248665,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.746946422,0.732484076,0.763638791,0.725391882,0.754947122,0.744681473,0.014074289,141,0.744135851,0.747962116,0.740228173,0.749786974,0.742403625,0.744903348,0.003518545
2,0.774816656,0.14607389,0.006248474,0.007652787,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.736717872,0.713925315,0.751043844,0.70647494,0.710845212,0.723808237,0.017171977,289,0.726745954,0.732657186,0.723431736,0.734569207,0.719170597,0.727314936,0.005707843
3,0.727952099,0.025381123,0.003124332,0.006248665,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.737067566,0.72260522,0.74967986,0.723329014,0.738887263,0.734313266,0.010221302,260,0.735290589,0.739116854,0.732402889,0.734940929,0.731052905,0.734560833,0.002771159
4,0.818556404,0.018745669,0.003124142,0.006248283,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.75633196,0.730760584,0.755083653,0.742245956,0.758378966,0.748557462,0.010548039,13,0.746633873,0.75324105,0.746946174,0.750158695,0.746126309,0.74862122,0.002708748
5,0.934154367,0.112385905,0.009372759,0.007652826,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.746946422,0.730760584,0.755083653,0.742245956,0.758378966,0.746678439,0.009805566,90,0.744135851,0.75324105,0.746946174,0.750158695,0.746126309,0.748121616,0.00321271
6,0.765444517,0.041916056,0.003124475,0.006248951,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.75633196,0.712201823,0.755083653,0.742245956,0.758378966,0.744841922,0.017281832,135,0.746633873,0.73793612,0.746946174,0.750158695,0.746126309,0.745560234,0.004066126
7,0.768568707,0.006249452,0.003124237,0.006248474,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.75633196,0.730760584,0.756065972,0.741182126,0.759361284,0.74873764,0.010997413,6,0.7468389,0.75324105,0.746905501,0.750629177,0.746085918,0.748740109,0.002751442
8,0.956022358,0.272975389,0.00624876,0.007653137,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.741226427,0.730760584,0.756065972,0.743391297,0.759198261,0.746122263,0.010366782,102,0.74409255,0.753160187,0.746905501,0.748478718,0.746045528,0.747736497,0.003059267
9,0.899787331,0.137821807,0.009372663,0.007652748,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.752735107,0.730104908,0.749427502,0.725391882,0.756255486,0.742783221,0.012551159,226,0.745363277,0.75131494,0.746188518,0.749807169,0.739927047,0.74652019,0.003967665
10,0.949775171,0.114537832,0.003123999,0.006247997,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.754208817,0.730841763,0.754022082,0.724328053,0.758378966,0.744356415,0.013932577,173,0.747575277,0.753506725,0.746905501,0.749991922,0.74584058,0.748764001,0.002735496
11,0.987266207,0.054473706,0.009372902,0.007652942,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.755189209,0.730760584,0.755986719,0.726374201,0.755766417,0.744816204,0.01334014,139,0.746818684,0.752894512,0.746824156,0.749971727,0.742363234,0.747774463,0.003525361
12,1.409041691,0.203293305,0.00937252,0.007652631,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.754208817,0.730760584,0.749427502,0.725391882,0.759198261,0.743797487,0.013309396,191,0.747575277,0.75324105,0.746474529,0.750277651,0.746331257,0.748779953,0.002642227
13,1.643360758,0.37962024,0.015622091,8.31E-07,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.75633196,0.730841763,0.759947276,0.724328053,0.75592944,0.74547711,0.01481696,112,0.747124791,0.753160187,0.739389172,0.750257456,0.742117896,0.7464099,0.005071352
14,2.705610037,1.067858156,0.018745613,0.006248021,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.754208817,0.730841763,0.755004401,0.742245956,0.754784099,0.747414562,0.009588477,70,0.747575277,0.75324105,0.747436851,0.750649372,0.742117896,0.748204089,0.003724948
15,0.228071165,0.007653137,0,0,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.737067566,0.72260522,0.750662178,0.719583664,0.749138904,0.73580966,0.012940001,240,0.735781507,0.739116854,0.732382553,0.739864247,0.732766627,0.735982357,0.003105929
16,0.212450838,0.007652962,0,0,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 3}",0.746946422,0.732484076,0.763638791,0.725391882,0.754947122,0.744681473,0.014074289,141,0.744135851,0.747962116,0.740228173,0.749786974,0.742403625,0.744903348,0.003518545
