,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.656089163,0.009879783,0.006248665,0.00765302,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.74596603,0.732565255,0.76568268,0.725391882,0.75592944,0.745106488,0.01474346,190,0.744892444,0.748248007,0.739962498,0.750297846,0.742403625,0.745160884,0.003758097
1,0.824796391,0.140563426,0.003124285,0.006248569,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.747027601,0.732565255,0.756065972,0.742245956,0.759361284,0.747448721,0.009643481,73,0.744892444,0.748513682,0.747191512,0.750649372,0.746371647,0.747523731,0.001955043
2,1.009136343,0.188649496,0.006248426,0.007652728,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.747027601,0.732565255,0.765603427,0.742245956,0.75592944,0.748670544,0.01133967,41,0.744892444,0.748432819,0.739595142,0.750649372,0.742669159,0.745247787,0.003950938
3,1.040379047,0.263366163,0.006248379,0.00765267,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.747027601,0.730841763,0.755083653,0.742245956,0.75592944,0.746221539,0.00922933,128,0.744606553,0.753506725,0.746946174,0.750649372,0.742669159,0.747675597,0.00394616
4,0.874792433,0.0684499,0.003124619,0.006249237,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.747027601,0.730841763,0.756065972,0.726374201,0.759198261,0.743899987,0.013184328,238,0.744892444,0.753506725,0.747191512,0.749971727,0.746331257,0.748378733,0.003052533
5,0.859171581,0.132182206,0.006248856,0.007653254,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.754208817,0.730760584,0.75704829,0.742164444,0.759198261,0.748672734,0.010723714,29,0.747575277,0.753160187,0.746578818,0.750303058,0.746045528,0.748732573,0.002655876
6,0.818556833,0.07816864,0.003124237,0.006248474,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.754208817,0.730760584,0.766664998,0.724328053,0.759198261,0.747032437,0.016521823,104,0.747575277,0.75324105,0.739349803,0.750277651,0.746331257,0.747355008,0.004655475
7,0.962272072,0.181261203,0.003124142,0.006248283,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.75633196,0.730760584,0.75704829,0.724328053,0.759361284,0.745566729,0.014886215,149,0.747124791,0.75324105,0.746578818,0.750277651,0.746085918,0.748661646,0.002717237
8,0.943526554,0.102483908,0.006248331,0.007652611,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.754208817,0.730760584,0.75704829,0.742164444,0.759198261,0.748672734,0.010723714,29,0.747575277,0.753160187,0.746578818,0.750303058,0.746045528,0.748732573,0.002655876
9,0.902911806,0.071517374,0.003124189,0.006248379,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.743842887,0.732484076,0.765603427,0.725310371,0.755766417,0.744600466,0.014730478,221,0.74534293,0.747901469,0.739860817,0.749665803,0.74205731,0.744965666,0.003615814
10,1.190343714,0.100462982,0.003124046,0.006248093,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.744904459,0.730841763,0.75704829,0.724328053,0.759361284,0.743295149,0.013886882,258,0.74534293,0.753425862,0.746578818,0.750277651,0.746085918,0.748342236,0.003058939
11,1.27782321,0.17322037,0.006248426,0.007652728,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.754208817,0.732565255,0.75704829,0.726374201,0.755766417,0.745193542,0.013015432,177,0.747575277,0.748513682,0.746864829,0.749706193,0.742077506,0.746947497,0.002614616
12,1.499644709,0.061699125,0,0,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.74596603,0.732565255,0.756065972,0.724328053,0.759361284,0.743656266,0.013431842,248,0.744892444,0.748513682,0.747191512,0.749991922,0.746085918,0.747335096,0.001788597
13,1.555880928,0.151968187,0.009372807,0.007652865,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.747027601,0.732565255,0.760026529,0.725391882,0.75592944,0.744187789,0.013302713,229,0.744892444,0.748432819,0.739756528,0.750297846,0.742669159,0.745209759,0.003809719
14,3.342959309,1.36301544,0.009372997,0.00765302,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.747027601,0.732565255,0.756065972,0.742245956,0.755766417,0.746730481,0.008828968,115,0.744892444,0.748513682,0.747191512,0.750649372,0.742343039,0.74671801,0.00287671
15,0.268686104,0.011690322,0.00312438,0.00624876,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.747027601,0.732565255,0.76568268,0.725391882,0.75592944,0.745319019,0.014761959,161,0.744892444,0.748513682,0.740228173,0.750297846,0.742669159,0.745320261,0.003690935
16,0.268685913,0.006247711,0,0,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 3}",0.747027601,0.732565255,0.76568268,0.725391882,0.75592944,0.745319019,0.014761959,161,0.744892444,0.748513682,0.740228173,0.750297846,0.742669159,0.745320261,0.003690935
17,0.309301567,0.050762973,0.006248713,0.007653079,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 4}",0.75633196,0.730841763,0.764621109,0.725391882,0.75592944,0.746624425,0.015520409,120,0.747124791,0.753506725,0.740207836,0.750297846,0.742117896,0.746651019,0.004951531
18,0.346792936,0.041211553,0.00312438,0.00624876,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.754208817,0.730760584,0.76568268,0.741182126,0.759361284,0.75023592,0.012642413,8,0.747289387,0.753160187,0.739676487,0.750629177,0.746085918,0.747368231,0.004582445
19,0.381160212,0.036434928,0.009372807,0.007652865,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 6}",0.75633196,0.730841763,0.756065972,0.742245956,0.759361284,0.748966441,0.010831528,10,0.747124791,0.753506725,0.747191512,0.750649372,0.746371647,0.748968809,0.002710034
20,0.337420464,0.042608983,0,0,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 7}",0.746946422,0.732565255,0.756065972,0.742245956,0.759361284,0.747432468,0.009644245,80,0.744626769,0.748227791,0.747191512,0.750649372,0.746371647,0.747413418,0.002001726
21,0.343669367,0.043064895,0.009372759,0.007652826,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 8}",0.743842887,0.730841763,0.75704829,0.705411111,0.759198261,0.739270519,0.019748888,289,0.74505704,0.753506725,0.746578818,0.735059884,0.746331257,0.745306745,0.005915538
22,0.378036451,0.043516446,0.006248569,0.012497139,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 9}",0.743842887,0.730760584,0.75704829,0.742245956,0.759198261,0.746613718,0.010444242,123,0.74534293,0.753160187,0.746864829,0.750649372,0.746045528,0.748412569,0.002998807
23,0.437396479,0.062485313,0.009373045,0.012497473,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.747027601,0.730760584,0.756065972,0.725391882,0.759361284,0.743720043,0.013501626,243,0.744892444,0.75324105,0.747191512,0.750297846,0.746371647,0.7483989,0.002997172
24,0.496757364,0.082896369,0.006249142,0.007653604,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.754208817,0.730760584,0.75704829,0.725310371,0.755766417,0.74461969,0.01367756,217,0.747289387,0.753160187,0.746578818,0.749685998,0.742343039,0.747811486,0.003572628
25,0.515503407,0.017111629,0.003124237,0.006248474,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.741307606,0.7318284,0.764700362,0.726537224,0.75592944,0.744058702,0.014358599,234,0.744358225,0.746812815,0.739982834,0.747636515,0.74238343,0.744234764,0.002819214
26,0.649844503,0.044840304,0.003124046,0.006248093,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.754208817,0.7318284,0.750409821,0.724328053,0.75592944,0.743342086,0.012808621,256,0.747289387,0.746731952,0.746454193,0.750277651,0.742669159,0.746684468,0.002427133
27,1.140355015,0.155273586,0,0,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.747027601,0.732484076,0.687376689,0.741182126,0.755766417,0.732763823,0.023929514,293,0.744892444,0.747901469,0.689550246,0.750629177,0.742343039,0.735063275,0.022926665
28,1.30906496,0.107048624,0.009372711,0.007652787,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.754208817,0.730841763,0.756065972,0.725391882,0.759361284,0.745174004,0.014127812,179,0.747575277,0.753015807,0.746905501,0.750297846,0.746371647,0.748833216,0.00248986
29,2.499408484,1.488311078,0,0,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.75633196,0.730841763,0.75704829,0.741182126,0.759361284,0.748950356,0.011107984,13,0.747124791,0.753015807,0.746578818,0.750629177,0.746371647,0.748744048,0.002635911
30,0.249940395,0.009879027,0.00624795,0.007652144,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.747027601,0.732565255,0.76568268,0.725391882,0.75592944,0.745319019,0.014761959,161,0.744892444,0.748513682,0.739962498,0.750297846,0.742669159,0.745267126,0.003765028
31,0.224947739,0.007651969,0,0,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 3}",0.74596603,0.732565255,0.76568268,0.725391882,0.75592944,0.745106488,0.01474346,190,0.744892444,0.748248007,0.739962498,0.750032312,0.742403625,0.745107777,0.003686321
32,0.281183434,0.032768389,0.003123713,0.006247425,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 4}",0.747027601,0.732565255,0.750662178,0.725391882,0.759361284,0.743000587,0.012337666,265,0.744892444,0.748513682,0.732382553,0.750297846,0.746371647,0.744491634,0.006327937
33,0.243692684,0.063722889,0.003124237,0.006248474,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.737067566,0.730841763,0.731299455,0.742245956,0.759361284,0.740156328,0.010465755,279,0.735781507,0.753506725,0.714081756,0.750649372,0.746371647,0.740078201,0.014324518
34,0.206201935,0.011689787,0.003124142,0.006248283,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 6}",0.74610341,0.712201823,0.75704829,0.722265184,0.759198261,0.739358667,0.018877523,285,0.729449003,0.73793612,0.746578818,0.73541141,0.746045528,0.739084176,0.006515733
35,0.287432289,0.061381509,0,0,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}",0.75633196,0.730841763,0.75704829,0.725310371,0.759198261,0.745746673,0.01456193,132,0.747124791,0.753506725,0.746864829,0.749951532,0.746045528,0.748698681,0.002741032
36,0.243692017,0.0350693,0.003124619,0.006249237,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 8}",0.73977145,0.730760584,0.723647383,0.725310371,0.715096351,0.726923376,0.008161467,297,0.716641312,0.753160187,0.720677739,0.749685998,0.7228125,0.732595547,0.015538775
37,0.337420511,0.021190218,0,0,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 9}",0.750611965,0.730760584,0.75704829,0.741182126,0.759198261,0.747756366,0.010560434,69,0.746590572,0.753160187,0.746578818,0.750629177,0.746045528,0.748600856,0.002812869
38,0.324923325,0.040010616,0.003124332,0.006248665,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.75633196,0.730760584,0.756065972,0.724328053,0.759361284,0.745370265,0.014739144,157,0.7468389,0.75324105,0.746905501,0.749991922,0.746085918,0.748612658,0.002674674
