k,GMM,Kmeans
2,0.6158960559184407,0.6163093324991303
3,0.705844107428042,0.7063141520223666
4,0.7963519222796372,0.7993522383003901
5,0.8635831776219591,0.8596346396780461
6,0.9309087887503605,0.9313233706924977
7,0.9604440245014756,0.9608665813021858
8,0.9775722658334507,0.9779946454869486
9,0.9937898258479274,0.9937898258479274
10,0.9969082866401123,0.9969082866401123
15,0.9997959183673469,0.9997959183673469
20,0.9997959183673469,0.9997959183673469
25,0.9997959183673469,0.9997959183673469
30,0.9997959183673469,0.9997959183673469
35,0.9997959183673469,0.9997959183673469
40,0.9997959183673469,0.9997959183673469
