k,GMM,Kmeans
2,0.5265306122448979,0.5673469387755102
3,0.5591836734693878,0.673469387755102
4,0.6040816326530613,0.689795918367347
5,0.6163265306122448,0.7061224489795919
6,0.6775510204081633,0.710204081632653
7,0.6816326530612244,0.710204081632653
8,0.689795918367347,0.689795918367347
9,0.7020408163265306,0.6938775510204082
10,0.7183673469387755,0.7387755102040816
15,0.7346938775510204,0.7183673469387755
20,0.7306122448979592,0.746938775510204
25,0.7551020408163265,0.746938775510204
30,0.7591836734693878,0.7428571428571429
35,0.7714285714285715,0.7591836734693878
40,0.7755102040816326,0.7755102040816326
