k,GMM,Kmeans
2,0.13993605747026233,0.22378575569463363
3,0.17111596949945884,0.3056215937276274
4,0.14563853878424765,0.2528290893718758
5,0.16891433110174714,0.24786730520481007
6,0.1655543342255478,0.22773071186402666
7,0.1757841862526448,0.20749308159352448
8,0.18652028239029006,0.2034840549036603
9,0.18209567277020766,0.1927400311616914
10,0.1823818057884531,0.19145863106431948
15,0.1561919359069892,0.16217924307764564
20,0.14305307148805077,0.15572868434727397
25,0.13952290955048502,0.13752962679880626
30,0.13500815449188655,0.1225274022103725
35,0.1257664185127836,0.12248321085555147
40,0.11417952563531518,0.1214075219887937
