k,type,score,label
2,Kmeans,0.315677,0
2,Kmeans,0.528161,1
2,Kmeans,0.541092,0
2,Kmeans,0.593613,1
2,Kmeans,0.568076,1
2,Kmeans,0.60138,0
2,Kmeans,0.25375,1
2,Kmeans,0.645117,0
2,Kmeans,0.462129,1
2,Kmeans,0.559777,1
2,Kmeans,0.603706,0
2,Kmeans,0.389192,1
2,Kmeans,0.598135,1
2,Kmeans,0.579509,0
2,Kmeans,0.565394,0
2,Kmeans,0.12342,0
2,Kmeans,0.556313,0
2,Kmeans,0.516383,1
2,Kmeans,0.584173,1
2,Kmeans,0.598854,0
2,Kmeans,0.64882,0
2,Kmeans,0.584787,1
2,Kmeans,0.657001,0
2,Kmeans,0.609037,0
2,Kmeans,0.610688,1
2,Kmeans,0.508461,1
2,Kmeans,0.63419,0
2,Kmeans,0.639879,0
2,Kmeans,0.469068,1
2,Kmeans,0.592104,0
2,Kmeans,0.237299,0
2,Kmeans,0.61915,0
2,Kmeans,0.492302,0
2,Kmeans,0.558484,0
2,Kmeans,0.332385,1
2,Kmeans,0.565826,1
2,Kmeans,0.269611,1
2,Kmeans,0.287698,1
2,Kmeans,0.577726,0
2,Kmeans,0.529696,1
2,Kmeans,0.271204,1
2,Kmeans,0.453863,1
2,Kmeans,0.488214,1
2,Kmeans,0.65709,0
2,Kmeans,0.44363,0
2,Kmeans,0.491147,1
2,Kmeans,0.128989,1
2,Kmeans,0.49939,1
2,Kmeans,0.42048,1
2,Kmeans,0.57778,0
2,Kmeans,0.539741,0
2,Kmeans,0.58788,0
2,Kmeans,0.543449,1
2,Kmeans,0.598823,1
2,Kmeans,0.317091,1
2,Kmeans,0.46669,0
2,Kmeans,0.590487,0
2,Kmeans,0.443898,1
2,Kmeans,0.629249,0
2,Kmeans,0.393568,0
2,Kmeans,0.585855,1
2,Kmeans,0.559839,1
2,Kmeans,0.647813,0
2,Kmeans,0.067235,0
2,Kmeans,0.568172,0
2,Kmeans,0.579734,1
2,Kmeans,0.431719,0
2,Kmeans,0.303114,0
2,Kmeans,0.541648,1
2,Kmeans,0.0719,1
2,Kmeans,0.635745,0
2,Kmeans,0.149605,1
2,Kmeans,0.011248,0
2,Kmeans,0.046052,1
2,Kmeans,0.186078,0
2,Kmeans,0.353037,0
2,Kmeans,0.336411,1
2,Kmeans,0.280566,1
2,Kmeans,0.525471,1
2,Kmeans,0.590908,0
2,Kmeans,0.218949,1
2,Kmeans,0.647941,0
2,Kmeans,0.003657,0
2,Kmeans,0.441048,0
2,Kmeans,0.426439,1
2,Kmeans,0.201172,0
2,Kmeans,0.4649,0
2,Kmeans,0.577209,1
2,Kmeans,0.636746,0
2,Kmeans,0.55423,1
2,Kmeans,0.588034,1
2,Kmeans,0.512448,1
2,Kmeans,0.216489,1
2,Kmeans,0.534067,1
2,Kmeans,0.403688,0
2,Kmeans,0.532908,1
2,Kmeans,0.36855,1
2,Kmeans,0.305663,1
2,Kmeans,0.193506,1
2,Kmeans,0.634318,0
2,Kmeans,0.569847,1
2,Kmeans,0.264264,0
2,Kmeans,0.590256,1
2,Kmeans,0.603204,0
2,Kmeans,0.418323,0
2,Kmeans,0.558614,0
2,Kmeans,0.481025,0
2,Kmeans,0.597732,0
2,Kmeans,0.153763,1
2,Kmeans,0.154076,0
2,Kmeans,0.560569,1
2,Kmeans,0.628993,0
2,Kmeans,0.59312,1
2,Kmeans,0.554202,1
2,Kmeans,0.637493,0
2,Kmeans,0.409748,1
2,Kmeans,0.556822,1
2,Kmeans,0.425608,1
2,Kmeans,0.506947,0
2,Kmeans,0.243731,1
2,Kmeans,0.047942,1
2,Kmeans,0.610997,1
2,Kmeans,0.151892,1
2,Kmeans,0.557951,1
2,Kmeans,0.4676,1
2,Kmeans,0.160046,0
2,Kmeans,0.239709,1
2,Kmeans,0.634952,0
2,Kmeans,0.559362,0
2,Kmeans,0.097868,0
2,Kmeans,0.56217,0
2,Kmeans,0.646653,0
2,Kmeans,0.311783,0
2,Kmeans,0.180645,0
2,Kmeans,0.571345,0
2,Kmeans,0.098799,1
2,Kmeans,0.274723,1
2,Kmeans,0.537407,1
2,Kmeans,0.165231,1
2,Kmeans,0.372669,1
2,Kmeans,0.444045,0
2,Kmeans,0.573289,1
2,Kmeans,0.023262,1
2,Kmeans,0.542176,1
2,Kmeans,0.589267,1
2,Kmeans,0.468301,0
2,Kmeans,0.591024,0
2,Kmeans,0.380895,1
2,Kmeans,0.521369,1
2,Kmeans,0.604157,0
2,Kmeans,0.599797,1
2,Kmeans,0.229488,1
2,Kmeans,0.597418,1
2,Kmeans,0.114512,0
2,Kmeans,0.649796,0
2,Kmeans,0.540988,0
