k,GMM,Kmeans
2,0.36429085290726504,0.4585594416313465
3,0.22632333556678907,0.3646917961159647
4,0.1994551417409473,0.39657057090474523
5,0.07993009388777518,0.35763309044111297
6,0.16502858313146873,0.34979691884727265
7,0.26236210816600053,0.345845763916849
8,0.1972393088019937,0.35979120592654995
9,0.25331379149253436,0.3334540594369431
10,0.28032149122206024,0.3112936122408098
15,0.18542275588126447,0.2749626370823815
20,0.2116811591481861,0.28735074023105284
25,0.2444355760208401,0.27879622303119667
30,0.23858983741044346,0.25154757300035235
35,0.24514623635983904,0.2795048548449346
40,0.24826627514834607,0.2761287333038821
