k,GMM,Kmeans
2,0.6393877551020408,0.6336734693877552
3,0.6393877551020408,0.6228571428571429
4,0.6393877551020408,0.6304081632653061
5,0.6391836734693878,0.64
6,0.6391836734693878,0.639795918367347
7,0.6391836734693878,0.6391836734693878
8,0.6363265306122449,0.656530612244898
9,0.6391836734693878,0.6412244897959184
10,0.6720408163265306,0.66
15,0.6671428571428571,0.6683673469387755
20,0.6526530612244898,0.6693877551020408
25,0.6524489795918368,0.6677551020408163
30,0.6508163265306123,0.6704081632653062
35,0.6475510204081633,0.6795918367346939
40,0.6526530612244898,0.6728571428571428
