k,GMM,Kmeans
2,0.06615163471320552,0.053446825443949866
3,0.06218663872276267,0.03575041199591221
4,0.05739993571206573,0.03254702210953181
5,0.05534035658988685,0.029224132987971087
6,0.04153155226400353,0.02836897942642302
7,0.032481481464795674,0.03182489072870747
8,0.031428525439569185,0.029892202987508738
9,0.03775702430680054,0.02668290446812449
10,0.05643006800680238,0.033858645514898075
15,0.04155186745431245,0.03083893852542751
20,0.03564747092823178,0.02828745507293238
25,0.029920426012449593,0.027513302935139674
30,0.028759667022880422,0.026449766888487533
35,0.027538105998437645,0.026407973841859677
40,0.027096576296169017,0.02498865910489434
