,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.127859497,0.129346112,0.006247711,0.007651852,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.637092544,0.630704384,0.647358169,0.6381453,0.647234879,0.640103466,0.006399596,296,0.650465459,0.643757333,0.636829569,0.646067912,0.650380034,0.645500061,0.005039966
1,1.018509912,0.157582194,0.006248617,0.007652962,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.670675659,0.661671038,0.679632851,0.658366426,0.680058939,0.670079742,0.008932417,133,0.673934184,0.680671394,0.670292081,0.677555026,0.673291503,0.675148837,0.003600043
2,1.649610949,0.359575282,0,0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.669052079,0.661183964,0.682690342,0.659198261,0.67148769,0.668722376,0.008370829,159,0.668863147,0.680668525,0.670069686,0.669215078,0.658198816,0.66940305,0.007116418
3,1.705846262,0.389769635,0,0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.661939553,0.670094917,0.676083157,0.662536053,0.684803327,0.671088278,0.008610432,110,0.674023655,0.678167634,0.665149096,0.675952833,0.667097453,0.672078134,0.005073443
4,1.246580362,0.187559833,0.006248665,0.00765302,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.65524541,0.668059198,0.670996375,0.670643314,0.666551018,0.666296228,0.005768718,192,0.670081834,0.672417998,0.665116245,0.671918232,0.662190682,0.668344998,0.004016824
5,1.849562168,0.443227084,0.006248713,0.007653079,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.676283252,0.639721494,0.680915496,0.668185428,0.683584835,0.669730802,0.015897657,144,0.663501002,0.659928413,0.670177885,0.676879596,0.672992354,0.66869585,0.006188448
6,1.930793667,0.809696027,0.006248331,0.007652611,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.668059198,0.654408642,0.661584056,0.655110145,0.688097229,0.665447622,0.012352922,204,0.672438344,0.673561691,0.666804675,0.672211518,0.671755238,0.671354293,0.002351272
7,2.002652025,0.312332504,0.003124189,0.006248379,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.665205445,0.661927064,0.68127839,0.653312712,0.684232747,0.669189146,0.011770391,155,0.671603758,0.680240993,0.663817333,0.670254803,0.674867507,0.672156879,0.00540689
8,1.962036705,0.42787555,0.003124142,0.006248283,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.674372424,0.662564006,0.688219272,0.668691218,0.683091586,0.675384671,0.009320755,47,0.676608017,0.684067519,0.681788839,0.681536599,0.667161817,0.678232558,0.006046669
9,2.730601549,0.664183687,0.006248331,0.007652611,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.658423879,0.667559635,0.697742128,0.678343017,0.692507211,0.678906018,0.014756268,24,0.67236322,0.686747222,0.684524325,0.692371104,0.68258375,0.683717924,0.00655622
10,2.290083742,0.657921939,0,0,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.66171475,0.656450606,0.672596032,0.661399072,0.685300757,0.66748642,0.010348068,168,0.676143054,0.679290981,0.664655029,0.678646346,0.678908883,0.675528859,0.00554823
11,2.543148756,0.636415167,0.009372902,0.007652942,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.667921818,0.651960784,0.693068295,0.657384107,0.684172136,0.670897005,0.01560663,113,0.67683613,0.663237936,0.689097895,0.68002561,0.664883543,0.674816223,0.009673663
12,4.714510584,0.916501661,0.006248331,0.007652611,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.6681716,0.673854128,0.690327815,0.673765832,0.692743385,0.679767555,0.009852016,17,0.683593426,0.704024563,0.678299087,0.697168691,0.681982325,0.689013618,0.00985345
13,4.373965168,1.247672671,0.003124237,0.006248474,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.667740727,0.662164356,0.688728159,0.671715504,0.691675375,0.67639799,0.011704054,42,0.681245914,0.675560056,0.684053462,0.694850678,0.67720793,0.682583608,0.006821424
14,6.00795517,3.500631164,0.006248188,0.007652436,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.69233171,0.66675409,0.690152624,0.687934206,0.689882122,0.685407128,0.009436038,4,0.695811729,0.69180639,0.679578185,0.691982966,0.675575119,0.686950878,0.007888943
15,0.440520668,0.050763349,0,0,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.607868115,0.638722368,0.65982798,0.645514777,0.65861932,0.642098768,0.018883735,287,0.637741761,0.651632107,0.64510225,0.649517635,0.64468044,0.645734839,0.004785155
