k,type,score,label
2,Kmeans,0.160645,1
2,Kmeans,0.25537,1
2,Kmeans,0.217679,1
2,Kmeans,0.153709,0
2,Kmeans,0.112454,0
2,Kmeans,0.275847,1
2,Kmeans,0.076135,0
2,Kmeans,-0.008865,0
2,Kmeans,0.125804,1
2,Kmeans,0.190814,1
2,Kmeans,0.153143,0
2,Kmeans,0.03032,0
2,Kmeans,0.245348,1
2,Kmeans,0.097734,0
2,Kmeans,0.249229,0
2,Kmeans,0.190548,0
2,Kmeans,0.091437,0
2,Kmeans,0.18988,0
2,Kmeans,0.324749,1
2,Kmeans,0.086696,1
2,Kmeans,0.413888,1
2,Kmeans,0.275596,1
2,Kmeans,0.279193,1
2,Kmeans,0.194398,0
2,Kmeans,0.358485,1
2,Kmeans,-0.009579,0
2,Kmeans,0.223793,1
2,Kmeans,0.235341,0
2,Kmeans,0.111084,1
2,Kmeans,0.183097,0
2,Kmeans,0.079199,0
2,Kmeans,0.29177,1
2,Kmeans,0.115405,0
2,Kmeans,0.151776,0
2,Kmeans,0.120356,0
2,Kmeans,0.349323,1
2,Kmeans,0.193556,0
2,Kmeans,0.22778,1
2,Kmeans,0.263854,1
2,Kmeans,0.196277,0
2,Kmeans,0.303154,1
2,Kmeans,0.134252,1
2,Kmeans,0.171766,0
2,Kmeans,-0.051426,0
2,Kmeans,0.341414,1
2,Kmeans,0.094256,0
2,Kmeans,0.124587,1
2,Kmeans,0.351175,1
2,Kmeans,0.126272,1
2,Kmeans,0.147324,0
2,Kmeans,0.154213,0
2,Kmeans,0.036599,0
2,Kmeans,0.270711,1
2,Kmeans,0.038166,0
2,Kmeans,0.130871,0
2,Kmeans,0.048333,1
2,Kmeans,0.132895,1
2,Kmeans,0.07272,1
2,Kmeans,0.149246,1
2,Kmeans,0.065319,0
2,Kmeans,0.217679,1
2,Kmeans,0.202332,1
2,Kmeans,0.373759,1
2,Kmeans,0.169206,0
2,Kmeans,0.110437,0
2,Kmeans,0.235274,0
2,Kmeans,0.329761,1
2,Kmeans,-0.032824,0
2,Kmeans,0.29614,1
2,Kmeans,0.085953,0
2,Kmeans,0.153967,0
2,Kmeans,0.162266,1
2,Kmeans,0.185207,0
2,Kmeans,0.199322,1
2,Kmeans,0.166764,0
2,Kmeans,0.290494,1
2,Kmeans,0.047254,0
2,Kmeans,0.238456,1
2,Kmeans,0.146677,0
2,Kmeans,0.100877,1
2,Kmeans,0.279193,1
2,Kmeans,0.199005,1
2,Kmeans,0.302457,1
2,Kmeans,0.186102,0
2,Kmeans,0.295124,0
2,Kmeans,0.034644,0
2,Kmeans,0.054262,0
2,Kmeans,0.258544,0
2,Kmeans,0.173957,1
2,Kmeans,-0.002113,0
2,Kmeans,0.240473,0
2,Kmeans,0.186842,0
2,Kmeans,0.369537,1
2,Kmeans,0.116279,1
2,Kmeans,0.181137,0
2,Kmeans,0.245,1
2,Kmeans,0.341248,1
2,Kmeans,0.365395,1
2,Kmeans,0.092275,0
2,Kmeans,0.222226,0
2,Kmeans,0.16065,1
2,Kmeans,0.371893,1
2,Kmeans,-0.065139,0
2,Kmeans,0.149246,1
2,Kmeans,0.066797,0
2,Kmeans,0.119597,1
2,Kmeans,0.345509,1
2,Kmeans,0.188163,0
2,Kmeans,0.305048,1
2,Kmeans,0.291606,0
2,Kmeans,-0.006602,0
2,Kmeans,0.238174,1
2,Kmeans,-0.028823,0
2,Kmeans,0.100877,1
2,Kmeans,0.115479,0
2,Kmeans,0.079193,0
2,Kmeans,0.117923,0
2,Kmeans,0.137765,1
2,Kmeans,0.350368,1
2,Kmeans,0.053256,0
2,Kmeans,0.194634,0
2,Kmeans,0.329761,1
2,Kmeans,0.329761,1
2,Kmeans,0.145626,0
2,Kmeans,0.014833,0
2,Kmeans,0.341618,1
2,Kmeans,0.371299,1
2,Kmeans,-0.050263,0
2,Kmeans,0.013841,0
2,Kmeans,0.126624,0
2,Kmeans,0.149246,1
2,Kmeans,0.008318,0
2,Kmeans,0.383019,1
2,Kmeans,0.193105,0
2,Kmeans,0.171766,0
2,Kmeans,0.226129,1
2,Kmeans,0.305048,1
2,Kmeans,0.306328,1
2,Kmeans,0.218653,0
2,Kmeans,0.121821,1
2,Kmeans,0.279568,1
2,Kmeans,0.141395,1
2,Kmeans,0.198615,1
2,Kmeans,0.24002,0
2,Kmeans,-0.018127,0
2,Kmeans,0.265365,1
2,Kmeans,0.140241,1
2,Kmeans,0.110148,0
2,Kmeans,0.085223,1
2,Kmeans,0.113963,1
2,Kmeans,0.37007,1
2,Kmeans,0.240473,0
2,Kmeans,-0.003743,0
2,Kmeans,-0.022207,0
2,Kmeans,0.371928,1
2,Kmeans,0.193844,0
2,Kmeans,0.208801,1
2,Kmeans,0.069435,0
2,Kmeans,0.174713,0
