k,GMM,Kmeans
2,0.15731670120916091,0.17236617054281722
3,0.09599883340017452,0.16209799941636094
4,0.08656071185515125,0.17493644986831858
5,0.0697865376070434,0.15930569980060316
6,0.04381949723337423,0.15148177718695904
7,0.09100124529802349,0.1503715014476711
8,0.012010614885221892,0.16151191983561133
9,0.029752468087698134,0.1465207684105241
10,0.004488749385857153,0.15406483086570705
15,-0.0017598006165652203,0.147260023084001
20,-0.0330414473070704,0.15212844521040278
25,-0.04255557183127729,0.1548393376394359
30,-0.0501399199327442,0.15715475145615537
35,-0.0697505710827426,0.15625979783500568
40,-0.05386612057328083,0.16241614288858403
